,t,c,producto,CantidadPedir
0,1,0,1,0
1,1,0,2,0
2,1,0,3,12
3,1,0,4,0
4,1,0,5,0
5,1,0,6,12
6,1,0,7,0
7,1,0,8,0
8,1,0,9,0
9,1,0,10,0
10,1,0,11,0
11,1,0,12,0
12,1,0,13,0
13,1,0,14,0
14,1,0,15,12
15,1,1,1,0
16,1,1,2,0
17,1,1,3,0
18,1,1,4,0
19,1,1,5,0
20,1,1,6,0
21,1,1,7,0
22,1,1,8,0
23,1,1,9,0
24,1,1,10,0
25,1,1,11,0
26,1,1,12,0
27,1,1,13,0
28,1,1,14,0
29,1,1,15,0
30,1,2,1,0
31,1,2,2,0
32,1,2,3,0
33,1,2,4,0
34,1,2,5,0
35,1,2,6,0
36,1,2,7,0
37,1,2,8,0
38,1,2,9,0
39,1,2,10,0
40,1,2,11,0
41,1,2,12,0
42,1,2,13,0
43,1,2,14,0
44,1,2,15,0
45,1,3,1,0
46,1,3,2,0
47,1,3,3,0
48,1,3,4,10
49,1,3,5,7
50,1,3,6,0
51,1,3,7,1
52,1,3,8,2
53,1,3,9,0
54,1,3,10,0
55,1,3,11,0
56,1,3,12,4
57,1,3,13,12
58,1,3,14,0
59,1,3,15,0
60,1,4,1,10
61,1,4,2,11
62,1,4,3,0
63,1,4,4,0
64,1,4,5,0
65,1,4,6,0
66,1,4,7,0
67,1,4,8,3
68,1,4,9,0
69,1,4,10,0
70,1,4,11,0
71,1,4,12,0
72,1,4,13,12
73,1,4,14,0
74,1,4,15,0
75,1,5,1,0
76,1,5,2,0
77,1,5,3,2
78,1,5,4,3
79,1,5,5,3
80,1,5,6,0
81,1,5,7,6
82,1,5,8,0
83,1,5,9,2
84,1,5,10,2
85,1,5,11,1
86,1,5,12,1
87,1,5,13,0
88,1,5,14,1
89,1,5,15,14
90,1,6,1,0
91,1,6,2,0
92,1,6,3,0
93,1,6,4,0
94,1,6,5,0
95,1,6,6,0
96,1,6,7,0
97,1,6,8,0
98,1,6,9,0
99,1,6,10,0
100,1,6,11,0
101,1,6,12,0
102,1,6,13,0
103,1,6,14,0
104,1,6,15,0
105,1,7,1,0
106,1,7,2,0
107,1,7,3,0
108,1,7,4,0
109,1,7,5,0
110,1,7,6,0
111,1,7,7,0
112,1,7,8,0
113,1,7,9,0
114,1,7,10,0
115,1,7,11,0
116,1,7,12,0
117,1,7,13,0
118,1,7,14,0
119,1,7,15,0
120,1,8,1,0
121,1,8,2,0
122,1,8,3,0
123,1,8,4,0
124,1,8,5,0
125,1,8,6,0
126,1,8,7,0
127,1,8,8,0
128,1,8,9,0
129,1,8,10,0
130,1,8,11,0
131,1,8,12,0
132,1,8,13,0
133,1,8,14,0
134,1,8,15,0
135,1,9,1,0
136,1,9,2,0
137,1,9,3,0
138,1,9,4,0
139,1,9,5,0
140,1,9,6,0
141,1,9,7,0
142,1,9,8,0
143,1,9,9,0
144,1,9,10,0
145,1,9,11,0
146,1,9,12,0
147,1,9,13,0
148,1,9,14,0
149,1,9,15,0
150,2,0,1,0
151,2,0,2,0
152,2,0,3,32
153,2,0,4,0
154,2,0,5,0
155,2,0,6,0
156,2,0,7,0
157,2,0,8,0
158,2,0,9,0
159,2,0,10,0
160,2,0,11,0
161,2,0,12,0
162,2,0,13,0
163,2,0,14,0
164,2,0,15,0
165,2,1,1,0
166,2,1,2,23
167,2,1,3,0
168,2,1,4,0
169,2,1,5,1
170,2,1,6,0
171,2,1,7,0
172,2,1,8,0
173,2,1,9,0
174,2,1,10,1
175,2,1,11,3
176,2,1,12,0
177,2,1,13,0
178,2,1,14,1
179,2,1,15,5
180,2,2,1,0
181,2,2,2,8
182,2,2,3,0
183,2,2,4,15
184,2,2,5,0
185,2,2,6,0
186,2,2,7,0
187,2,2,8,0
188,2,2,9,0
189,2,2,10,9
190,2,2,11,0
191,2,2,12,0
192,2,2,13,0
193,2,2,14,0
194,2,2,15,0
195,2,3,1,0
196,2,3,2,0
197,2,3,3,0
198,2,3,4,0
199,2,3,5,0
200,2,3,6,32
201,2,3,7,0
202,2,3,8,0
203,2,3,9,0
204,2,3,10,0
205,2,3,11,0
206,2,3,12,0
207,2,3,13,0
208,2,3,14,0
209,2,3,15,0
210,2,4,1,0
211,2,4,2,0
212,2,4,3,0
213,2,4,4,0
214,2,4,5,0
215,2,4,6,0
216,2,4,7,0
217,2,4,8,0
218,2,4,9,0
219,2,4,10,0
220,2,4,11,0
221,2,4,12,0
222,2,4,13,0
223,2,4,14,0
224,2,4,15,0
225,2,5,1,0
226,2,5,2,0
227,2,5,3,0
228,2,5,4,0
229,2,5,5,0
230,2,5,6,27
231,2,5,7,0
232,2,5,8,5
233,2,5,9,0
234,2,5,10,0
235,2,5,11,0
236,2,5,12,0
237,2,5,13,0
238,2,5,14,0
239,2,5,15,0
240,2,6,1,10
241,2,6,2,0
242,2,6,3,18
243,2,6,4,0
244,2,6,5,0
245,2,6,6,0
246,2,6,7,0
247,2,6,8,0
248,2,6,9,0
249,2,6,10,0
250,2,6,11,0
251,2,6,12,0
252,2,6,13,6
253,2,6,14,0
254,2,6,15,0
255,2,7,1,0
256,2,7,2,0
257,2,7,3,0
258,2,7,4,0
259,2,7,5,0
260,2,7,6,0
261,2,7,7,0
262,2,7,8,0
263,2,7,9,0
264,2,7,10,0
265,2,7,11,0
266,2,7,12,0
267,2,7,13,0
268,2,7,14,0
269,2,7,15,0
270,2,8,1,0
271,2,8,2,0
272,2,8,3,0
273,2,8,4,0
274,2,8,5,8
275,2,8,6,18
276,2,8,7,2
277,2,8,8,0
278,2,8,9,0
279,2,8,10,0
280,2,8,11,0
281,2,8,12,0
282,2,8,13,6
283,2,8,14,0
284,2,8,15,0
285,2,9,1,0
286,2,9,2,0
287,2,9,3,0
288,2,9,4,0
289,2,9,5,0
290,2,9,6,24
291,2,9,7,0
292,2,9,8,0
293,2,9,9,0
294,2,9,10,0
295,2,9,11,0
296,2,9,12,0
297,2,9,13,12
298,2,9,14,0
299,2,9,15,0
300,3,0,1,0
301,3,0,2,0
302,3,0,3,0
303,3,0,4,0
304,3,0,5,0
305,3,0,6,0
306,3,0,7,0
307,3,0,8,0
308,3,0,9,0
309,3,0,10,0
310,3,0,11,0
311,3,0,12,0
312,3,0,13,0
313,3,0,14,0
314,3,0,15,0
315,3,1,1,0
316,3,1,2,0
317,3,1,3,0
318,3,1,4,0
319,3,1,5,0
320,3,1,6,24
321,3,1,7,0
322,3,1,8,0
323,3,1,9,0
324,3,1,10,0
325,3,1,11,0
326,3,1,12,0
327,3,1,13,0
328,3,1,14,0
329,3,1,15,12
330,3,2,1,0
331,3,2,2,0
332,3,2,3,0
333,3,2,4,28
334,3,2,5,0
335,3,2,6,0
336,3,2,7,0
337,3,2,8,0
338,3,2,9,0
339,3,2,10,0
340,3,2,11,0
341,3,2,12,0
342,3,2,13,0
343,3,2,14,3
344,3,2,15,3
345,3,3,1,0
346,3,3,2,0
347,3,3,3,0
348,3,3,4,26
349,3,3,5,0
350,3,3,6,0
351,3,3,7,6
352,3,3,8,0
353,3,3,9,0
354,3,3,10,0
355,3,3,11,0
356,3,3,12,0
357,3,3,13,0
358,3,3,14,0
359,3,3,15,0
360,3,4,1,0
361,3,4,2,0
362,3,4,3,0
363,3,4,4,0
364,3,4,5,0
365,3,4,6,0
366,3,4,7,0
367,3,4,8,0
368,3,4,9,0
369,3,4,10,0
370,3,4,11,0
371,3,4,12,0
372,3,4,13,0
373,3,4,14,0
374,3,4,15,0
375,3,5,1,0
376,3,5,2,0
377,3,5,3,0
378,3,5,4,0
379,3,5,5,0
380,3,5,6,0
381,3,5,7,0
382,3,5,8,0
383,3,5,9,0
