,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,20,42,64,28,19,113,9,10,2,12,4,5,48,2,31
1,31,42,64,84,25,137,15,14,3,12,4,5,48,5,58
2,41,42,64,84,35,137,21,19,4,12,4,5,48,5,58
3,52,63,84,109,43,137,25,24,5,13,8,5,72,5,76
4,62,63,84,109,55,138,32,43,6,13,8,7,78,5,88
5,94,74,89,109,55,138,33,43,8,13,8,8,78,5,106
6,94,84,102,109,75,138,46,43,8,13,8,8,78,5,118
7,94,134,126,109,76,158,46,43,9,13,9,11,97,10,136
8,115,156,163,110,77,158,46,56,11,13,11,16,97,10,172
9,115,156,163,110,77,158,46,56,11,13,11,16,97,10,172
10,134,156,187,110,77,158,50,58,12,14,12,16,115,10,172
11,167,156,187,110,77,158,54,61,15,15,16,16,115,10,196
12,167,173,187,127,113,158,54,71,15,15,16,16,120,11,214
13,167,173,219,127,113,158,54,71,15,15,16,16,120,11,214
14,167,173,241,147,113,158,57,76,16,16,16,16,124,11,228
15,178,193,241,147,113,184,63,81,19,19,17,17,129,12,252
16,188,193,241,152,113,184,63,87,19,19,19,18,129,13,263
17,200,197,248,169,116,186,69,90,19,19,19,20,133,13,271
18,210,207,255,169,121,196,71,95,20,20,20,20,137,13,285
19,210,207,255,169,121,196,71,95,20,20,20,20,137,13,285
