,t,id,Stock
0,1,1,45
1,1,2,41
2,1,3,596
3,1,4,0
4,1,5,23
5,1,6,157
6,1,7,15
7,1,8,29
8,1,9,28
9,1,10,3
10,1,11,31
11,1,12,2
12,1,13,84
13,1,14,17
14,1,15,32
15,2,1,22
16,2,2,15
17,2,3,255
18,2,4,3
19,2,5,8
20,2,6,20
21,2,7,25
22,2,8,14
23,2,9,0
24,2,10,1
25,2,11,2
26,2,12,0
27,2,13,51
28,2,14,36
29,2,15,33
30,3,1,45
31,3,2,55
32,3,3,444
33,3,4,20
34,3,5,23
35,3,6,4
36,3,7,17
37,3,8,29
38,3,9,29
39,3,10,2
40,3,11,2
41,3,12,0
42,3,13,50
43,3,14,12
44,3,15,39
45,4,1,20
46,4,2,10
47,4,3,506
48,4,4,26
49,4,5,4
50,4,6,186
51,4,7,22
52,4,8,22
53,4,9,29
54,4,10,34
55,4,11,31
56,4,12,0
57,4,13,8
58,4,14,32
59,4,15,34
60,5,1,0
61,5,2,30
62,5,3,154
63,5,4,12
64,5,5,17
65,5,6,7
66,5,7,28
67,5,8,9
68,5,9,27
69,5,10,5
70,5,11,4
71,5,12,28
72,5,13,66
73,5,14,6
74,5,15,41
75,6,1,9
76,6,2,55
77,6,3,499
78,6,4,18
79,6,5,4
80,6,6,10
81,6,7,9
82,6,8,25
83,6,9,24
84,6,10,4
85,6,11,6
86,6,12,0
87,6,13,50
88,6,14,66
89,6,15,34
90,7,1,46
91,7,2,48
92,7,3,559
93,7,4,26
94,7,5,161
95,7,6,6
96,7,7,29
97,7,8,12
98,7,9,26
99,7,10,34
100,7,11,35
101,7,12,3
102,7,13,70
103,7,14,125
104,7,15,65
105,8,1,14
106,8,2,29
107,8,3,195
108,8,4,15
109,8,5,10
110,8,6,3
111,8,7,10
112,8,8,14
113,8,9,27
114,8,10,7
115,8,11,5
116,8,12,4
117,8,13,54
118,8,14,99
119,8,15,154
120,9,1,38
121,9,2,53
122,9,3,556
123,9,4,18
124,9,5,14
125,9,6,10
126,9,7,16
127,9,8,14
128,9,9,0
129,9,10,9
130,9,11,7
131,9,12,6
132,9,13,60
133,9,14,75
134,9,15,29
135,10,1,9
136,10,2,52
137,10,3,742
138,10,4,7
139,10,5,18
140,10,6,46
141,10,7,24
142,10,8,19
143,10,9,2
144,10,10,37
145,10,11,39
146,10,12,4
147,10,13,29
148,10,14,49
149,10,15,188
150,11,1,45
151,11,2,54
152,11,3,394
153,11,4,6
154,11,5,7
155,11,6,16
156,11,7,1
157,11,8,27
158,11,9,4
159,11,10,7
160,11,11,10
161,11,12,4
162,11,13,33
163,11,14,25
164,11,15,17
165,12,1,10
166,12,2,52
167,12,3,411
168,12,4,15
169,12,5,3
170,12,6,221
171,12,7,26
172,12,8,25
173,12,9,1
174,12,10,5
175,12,11,38
176,12,12,3
177,12,13,66
178,12,14,0
179,12,15,37
180,13,1,6
181,13,2,49
182,13,3,22
183,13,4,19
184,13,5,8
185,13,6,19
186,13,7,4
187,13,8,25
188,13,9,0
189,13,10,5
190,13,11,8
191,13,12,2
192,13,13,12
193,13,14,105
194,13,15,7
195,14,1,24
196,14,2,11
197,14,3,341
198,14,4,10
199,14,5,17
200,14,6,9
201,14,7,27
202,14,8,7
203,14,9,1
204,14,10,4
205,14,11,7
206,14,12,0
207,14,13,87
208,14,14,80
209,14,15,64
210,15,1,41
211,15,2,56
212,15,3,395
213,15,4,14
214,15,5,118
215,15,6,6
216,15,7,21
217,15,8,25
218,15,9,4
219,15,10,34
220,15,11,39
221,15,12,3
222,15,13,12
223,15,14,53
224,15,15,173
225,16,1,14
226,16,2,54
227,16,3,43
228,16,4,2
229,16,5,9
230,16,6,18
231,16,7,3
232,16,8,27
233,16,9,5
234,16,10,3
235,16,11,8
236,16,12,1
237,16,13,35
238,16,14,28
239,16,15,25
240,17,1,32
241,17,2,46
242,17,3,323
243,17,4,6
244,17,5,7
245,17,6,19
246,17,7,11
247,17,8,21
248,17,9,5
249,17,10,1
250,17,11,10
251,17,12,0
252,17,13,7
253,17,14,89
254,17,15,30
255,18,1,50
256,18,2,39
257,18,3,401
258,18,4,1
259,18,5,31
260,18,6,54
261,18,7,23
262,18,8,24
263,18,9,3
264,18,10,59
265,18,11,39
266,18,12,27
267,18,13,48
268,18,14,64
269,18,15,107
270,19,1,2
271,19,2,9
272,19,3,22
273,19,4,29
274,19,5,12
275,19,6,1
276,19,7,3
277,19,8,20
278,19,9,5
279,19,10,27
280,19,11,9
281,19,12,29
282,19,13,83
283,19,14,37
284,19,15,13
