,t,product,Stock
0,1,1,2285
1,1,2,2668
2,1,3,1404
3,1,4,1030
4,1,5,582
5,1,6,746
6,1,7,569
7,1,8,586
8,1,9,121
9,1,10,179
10,1,11,90
11,1,12,121
12,1,13,2002
13,1,14,97
14,1,15,2512
15,2,1,1853
16,2,2,2066
17,2,3,1175
18,2,4,769
19,2,5,444
20,2,6,866
21,2,7,462
22,2,8,447
23,2,9,92
24,2,10,150
25,2,11,92
26,2,12,92
27,2,13,2313
28,2,14,115
29,2,15,1903
30,3,1,2512
31,3,2,2630
32,3,3,1144
33,3,4,1019
34,3,5,447
35,3,6,1437
36,3,7,539
37,3,8,730
38,3,9,214
39,3,10,120
40,3,11,92
41,3,12,184
42,3,13,2728
43,3,14,132
44,3,15,4021
45,4,1,1911
46,4,2,1984
47,4,3,1501
48,4,4,770
49,4,5,446
50,4,6,1196
51,4,7,435
52,4,8,594
53,4,9,184
54,4,10,92
55,4,11,92
56,4,12,156
57,4,13,2077
58,4,14,107
59,4,15,3403
60,5,1,3182
61,5,2,2606
62,5,3,1162
63,5,4,786
64,5,5,738
65,5,6,1066
66,5,7,330
67,5,8,447
68,5,9,185
69,5,10,181
70,5,11,124
71,5,12,128
72,5,13,2016
73,5,14,81
74,5,15,2797
75,6,1,2541
76,6,2,2727
77,6,3,1158
78,6,4,1010
79,6,5,619
80,6,6,906
81,6,7,314
82,6,8,571
83,6,9,155
84,6,10,151
85,6,11,96
86,6,12,100
87,6,13,2432
88,6,14,99
89,6,15,2188
90,7,1,1942
91,7,2,2100
92,7,3,1522
93,7,4,1092
94,7,5,519
95,7,6,724
96,7,7,423
97,7,8,426
98,7,9,127
99,7,10,122
100,7,11,156
101,7,12,131
102,7,13,2383
103,7,14,160
104,7,15,1981
105,8,1,2572
106,8,2,1953
107,8,3,1148
108,8,4,1194
109,8,5,450
110,8,6,1009
111,8,7,321
112,8,8,434
113,8,9,128
114,8,10,94
115,8,11,126
116,8,12,103
117,8,13,2298
118,8,14,133
119,8,15,2641
120,9,1,1938
121,9,2,2354
122,9,3,1529
123,9,4,942
124,9,5,457
125,9,6,933
126,9,7,423
127,9,8,446
128,9,9,130
129,9,10,96
130,9,11,127
131,9,12,133
132,9,13,3933
133,9,14,106
134,9,15,2534
135,10,1,5060
136,10,2,1849
137,10,3,1161
138,10,4,914
139,10,5,957
140,10,6,700
141,10,7,319
142,10,8,786
143,10,9,102
144,10,10,95
145,10,11,98
146,10,12,104
147,10,13,4797
148,10,14,168
149,10,15,1924
150,11,1,4422
151,11,2,1911
152,11,3,1318
153,11,4,810
154,11,5,808
155,11,6,869
156,11,7,331
157,11,8,701
158,11,9,162
159,11,10,187
160,11,11,219
161,11,12,166
162,11,13,4495
163,11,14,187
164,11,15,2637
165,12,1,3804
166,12,2,2250
167,12,3,1346
168,12,4,983
169,12,5,922
170,12,6,716
171,12,7,434
172,12,8,566
173,12,9,134
174,12,10,158
175,12,11,191
176,12,12,136
177,12,13,3834
178,12,14,160
179,12,15,2037
180,13,1,3197
181,13,2,2404
182,13,3,1673
183,13,4,753
184,13,5,785
185,13,6,726
186,13,7,333
187,13,8,429
188,13,9,106
189,13,10,128
190,13,11,161
191,13,12,106
192,13,13,4358
193,13,14,134
194,13,15,1964
195,14,1,2560
196,14,2,1891
197,14,3,2785
198,14,4,748
199,14,5,765
200,14,6,732
201,14,7,345
202,14,8,971
203,14,9,108
204,14,10,100
205,14,11,133
206,14,12,107
207,14,13,4851
208,14,14,241
209,14,15,2283
210,15,1,3817
211,15,2,2056
212,15,3,2993
213,15,4,1340
214,15,5,628
215,15,6,898
216,15,7,332
217,15,8,985
218,15,9,109
219,15,10,130
220,15,11,194
221,15,12,107
222,15,13,4217
223,15,14,215
224,15,15,1932
225,16,1,3203
226,16,2,1859
227,16,3,2623
228,16,4,1786
229,16,5,482
230,16,6,1123
231,16,7,763
232,16,8,962
233,16,9,170
234,16,10,160
235,16,11,166
236,16,12,198
237,16,13,3577
238,16,14,188
239,16,15,2365
240,17,1,2559
241,17,2,2571
242,17,3,2230
243,17,4,1530
244,17,5,910
245,17,6,933
246,17,7,656
247,17,8,823
248,17,9,140
249,17,10,131
250,17,11,135
251,17,12,167
252,17,13,3433
253,17,14,161
254,17,15,2544
255,18,1,1922
256,18,2,1973
257,18,3,1855
258,18,4,1279
259,18,5,762
260,18,6,707
261,18,7,556
262,18,8,675
263,18,9,111
264,18,10,103
265,18,11,106
266,18,12,139
267,18,13,2745
268,18,14,136
269,18,15,1902
270,19,1,2593
271,19,2,1855
272,19,3,1470
273,19,4,1024
274,19,5,617
275,19,6,764
276,19,7,448
277,19,8,529
278,19,9,143
279,19,10,134
280,19,11,136
281,19,12,111
282,19,13,2753
283,19,14,155
284,19,15,1986
285,20,1,1968
286,20,2,1882
287,20,3,1173
288,20,4,773
289,20,5,466
290,20,6,700
291,20,7,342
292,20,8,444
293,20,9,113
294,20,10,104
295,20,11,107
296,20,12,112
297,20,13,2079
298,20,14,129
299,20,15,1907
