,t,c,id,Products,vA,vB,LargoBox,Volumen
0,1,1,1,6,6,4,1600,1.0
1,1,1,4,18,6,4,1600,1.0
2,1,1,15,12,6,4,1000,1.0
3,1,2,2,24,8,0,1600,0.9411764705882353
4,1,2,5,6,8,0,1600,0.9411764705882353
5,1,2,9,2,8,0,1600,0.9411764705882353
6,1,3,6,12,6,4,1600,1.0
7,1,3,7,10,6,4,1600,1.0
8,1,3,12,2,6,4,1600,1.0
9,1,3,13,7,6,4,1000,1.0
10,1,3,14,1,6,4,1000,1.0
11,1,3,15,4,6,4,1000,1.0
12,1,4,1,10,7,2,1600,0.9705882352941176
13,1,4,3,1,7,2,1600,0.9705882352941176
14,1,4,7,2,7,2,1600,0.9705882352941176
15,1,4,8,10,7,2,1600,0.9705882352941176
16,1,4,10,4,7,2,1600,0.9705882352941176
17,1,4,11,1,7,2,1600,0.9705882352941176
18,1,4,15,6,7,2,1000,0.9705882352941176
19,1,5,1,1,7,2,1600,0.9705882352941176
20,1,5,3,21,7,2,1600,0.9705882352941176
21,1,5,5,6,7,2,1600,0.9705882352941176
22,1,5,15,6,7,2,1000,0.9705882352941176
23,2,1,1,3,6,4,1600,1.0
24,2,1,3,5,6,4,1600,1.0
25,2,1,6,15,6,4,1600,1.0
26,2,1,11,1,6,4,1600,1.0
27,2,1,13,10,6,4,1000,1.0
28,2,1,14,1,6,4,1000,1.0
29,2,1,15,1,6,4,1000,1.0
30,3,1,1,18,7,2,1600,0.9705882352941176
31,3,1,5,6,7,2,1600,0.9705882352941176
32,3,1,9,1,7,2,1600,0.9705882352941176
33,3,1,12,3,7,2,1600,0.9705882352941176
34,3,1,15,6,7,2,1000,0.9705882352941176
35,3,2,3,5,6,4,1600,1.0
36,3,2,4,13,6,4,1600,1.0
37,3,2,7,3,6,4,1600,1.0
38,3,2,9,3,6,4,1600,1.0
39,3,2,15,12,6,4,1000,1.0
40,3,3,2,7,6,4,1600,1.0
41,3,3,7,3,6,4,1600,1.0
42,3,3,8,14,6,4,1600,1.0
43,3,3,13,11,6,4,1000,1.0
44,3,3,14,1,6,4,1000,1.0
45,3,4,2,4,4,7,1600,0.9852941176470589
46,3,4,6,9,4,7,1600,0.9852941176470589
47,3,4,9,1,4,7,1600,0.9852941176470589
48,3,4,11,1,4,7,1600,0.9852941176470589
49,3,4,12,1,4,7,1600,0.9852941176470589
50,3,4,15,21,4,7,1000,0.9852941176470589
51,3,5,1,3,6,4,1600,1.0
52,3,5,3,7,6,4,1600,1.0
53,3,5,4,4,6,4,1600,1.0
54,3,5,6,10,6,4,1600,1.0
55,3,5,15,12,6,4,1000,1.0
56,3,6,2,9,6,4,1600,1.0
57,3,6,6,15,6,4,1600,1.0
58,3,6,15,12,6,4,1000,1.0
59,4,1,3,25,8,0,1600,0.9411764705882353
60,4,1,5,6,8,0,1600,0.9411764705882353
61,4,1,11,1,8,0,1600,0.9411764705882353
62,5,1,1,32,8,0,1600,0.9411764705882353
63,5,2,2,21,7,2,1600,0.9705882352941176
64,5,2,6,3,7,2,1600,0.9705882352941176
65,5,2,10,4,7,2,1600,0.9705882352941176
66,5,2,13,6,7,2,1000,0.9705882352941176
67,5,3,3,1,8,0,1600,0.9411764705882353
68,5,3,4,9,8,0,1600,0.9411764705882353
69,5,3,5,18,8,0,1600,0.9411764705882353
70,5,3,6,1,8,0,1600,0.9411764705882353
71,5,3,9,1,8,0,1600,0.9411764705882353
72,5,3,11,2,8,0,1600,0.9411764705882353
73,6,1,4,16,8,0,1600,0.9411764705882353
74,6,1,5,1,8,0,1600,0.9411764705882353
75,6,1,6,3,8,0,1600,0.9411764705882353
76,6,1,7,3,8,0,1600,0.9411764705882353
77,6,1,8,9,8,0,1600,0.9411764705882353
78,6,2,2,12,6,4,1600,1.0
79,6,2,3,12,6,4,1600,1.0
80,6,2,13,11,6,4,1000,1.0
81,6,2,14,1,6,4,1000,1.0
82,7,1,3,23,7,2,1600,0.9705882352941176
83,7,1,6,2,7,2,1600,0.9705882352941176
84,7,1,11,2,7,2,1600,0.9705882352941176
85,7,1,12,1,7,2,1600,0.9705882352941176
86,7,1,13,6,7,2,1000,0.9705882352941176
87,7,2,3,2,6,4,1600,1.0
88,7,2,4,11,6,4,1600,1.0
89,7,2,5,2,6,4,1600,1.0
90,7,2,7,7,6,4,1600,1.0
91,7,2,11,1,6,4,1600,1.0
92,7,2,12,1,6,4,1600,1.0
93,7,2,14,2,6,4,1000,1.0
94,7,2,15,10,6,4,1000,1.0
95,8,1,6,19,6,4,1600,1.0
96,8,1,8,5,6,4,1600,1.0
97,8,1,15,12,6,4,1000,1.0
98,8,2,1,11,6,4,1600,1.0
99,8,2,2,8,6,4,1600,1.0
100,8,2,5,3,6,4,1600,1.0
101,8,2,6,1,6,4,1600,1.0
102,8,2,9,1,6,4,1600,1.0
103,8,2,15,12,6,4,1000,1.0
104,8,3,1,10,6,4,1600,1.0
105,8,3,4,12,6,4,1600,1.0
106,8,3,6,2,6,4,1600,1.0
107,8,3,13,6,6,4,1000,1.0
108,8,3,15,6,6,4,1000,1.0
109,9,1,2,15,6,4,1600,1.0
110,9,1,5,6,6,4,1600,1.0
111,9,1,8,2,6,4,1600,1.0
112,9,1,10,1,6,4,1600,1.0
113,9,1,15,12,6,4,1000,1.0
114,9,2,3,21,6,4,1600,1.0
115,9,2,6,1,6,4,1600,1.0
116,9,2,11,1,6,4,1600,1.0
117,9,2,12,1,6,4,1600,1.0
118,9,2,13,12,6,4,1000,1.0
119,9,3,2,2,6,4,1600,1.0
120,9,3,3,4,6,4,1600,1.0
121,9,3,6,6,6,4,1600,1.0
122,9,3,7,7,6,4,1600,1.0
123,9,3,8,3,6,4,1600,1.0
124,9,3,9,1,6,4,1600,1.0
125,9,3,12,1,6,4,1600,1.0
126,9,3,13,12,6,4,1000,1.0
127,10,1,1,31,8,0,1600,0.9411764705882353
128,10,1,10,1,8,0,1600,0.9411764705882353
129,10,2,5,12,7,2,1600,0.9705882352941176
130,10,2,8,16,7,2,1600,0.9705882352941176
131,10,2,13,6,7,2,1000,0.9705882352941176
132,10,3,1,32,8,0,1600,0.9411764705882353
133,10,4,2,2,6,4,1600,1.0
134,10,4,4,7,6,4,1600,1.0
135,10,4,5,15,6,4,1600,1.0
136,10,4,13,10,6,4,1000,1.0
137,10,4,14,2,6,4,1000,1.0
138,11,1,6,5,6,4,1600,1.0
139,11,1,7,4,6,4,1600,1.0
140,11,1,8,2,6,4,1600,1.0
141,11,1,9,2,6,4,1600,1.0
142,11,1,10,3,6,4,1600,1.0
143,11,1,11,5,6,4,1600,1.0
144,11,1,12,3,6,4,1600,1.0
145,11,1,15,12,6,4,1000,1.0
146,11,2,2,11,6,4,1600,1.0
147,11,2,3,5,6,4,1600,1.0
148,11,2,6,8,6,4,1600,1.0
149,11,2,15,12,6,4,1000,1.0
150,11,3,3,13,6,4,1600,1.0
151,11,3,4,5,6,4,1600,1.0
152,11,3,6,4,6,4,1600,1.0
153,11,3,9,1,6,4,1600,1.0
154,11,3,10,1,6,4,1600,1.0
155,11,3,13,4,6,4,1000,1.0
156,11,3,14,1,6,4,1000,1.0
157,11,3,15,7,6,4,1000,1.0
158,12,1,4,14,8,0,1600,0.9411764705882353
159,12,1,5,11,8,0,1600,0.9411764705882353
160,12,1,7,7,8,0,1600,0.9411764705882353
161,12,2,2,16,8,0,1600,0.9411764705882353
162,12,2,3,13,8,0,1600,0.9411764705882353
163,12,2,6,3,8,0,1600,0.9411764705882353
164,13,1,2,13,6,4,1600,1.0
165,13,1,4,1,6,4,1600,1.0
166,13,1,6,10,6,4,1600,1.0
167,13,1,15,12,6,4,1000,1.0
