,t,product,Stock
0,1,1,1865
1,1,2,1888
2,1,3,1164
3,1,4,880
4,1,5,534
5,1,6,746
6,1,7,419
7,1,8,436
8,1,9,121
9,1,10,119
10,1,11,90
11,1,12,211
12,1,13,3634
13,1,14,97
14,1,15,2424
15,2,1,1853
16,2,2,3146
17,2,3,2285
18,2,4,1069
19,2,5,612
20,2,6,2930
21,2,7,372
22,2,8,447
23,2,9,92
24,2,10,390
25,2,11,152
26,2,12,182
27,2,13,5289
28,2,14,115
29,2,15,1991
30,3,1,1912
31,3,2,2510
32,3,3,1894
33,3,4,2489
34,3,5,615
35,3,6,3261
36,3,7,449
37,3,8,430
38,3,9,94
39,3,10,360
40,3,11,122
41,3,12,154
42,3,13,4648
43,3,14,220
44,3,15,2525
45,4,1,1911
46,4,2,1864
47,4,3,1501
48,4,4,2240
49,4,5,710
50,4,6,3020
51,4,7,525
52,4,8,444
53,4,9,94
54,4,10,332
55,4,11,92
56,4,12,126
57,4,13,3997
58,4,14,195
59,4,15,1907
60,5,1,1922
61,5,2,2486
62,5,3,1732
63,5,4,2736
64,5,5,762
65,5,6,2794
66,5,7,540
67,5,8,447
68,5,9,95
69,5,10,331
70,5,11,184
71,5,12,98
72,5,13,5664
73,5,14,169
74,5,15,2093
75,6,1,1881
76,6,2,1887
77,6,3,1368
78,6,4,2480
79,6,5,907
80,6,6,2586
81,6,7,644
82,6,8,871
83,6,9,95
84,6,10,301
85,6,11,156
86,6,12,130
87,6,13,5600
88,6,14,143
89,6,15,2012
90,7,1,3202
91,7,2,1920
92,7,3,1132
93,7,4,2232
94,7,5,759
95,7,6,2356
96,7,7,573
97,7,8,726
98,7,9,127
99,7,10,272
100,7,11,126
101,7,12,131
102,7,13,4975
103,7,14,116
104,7,15,2157
105,8,1,2572
106,8,2,1893
107,8,3,1148
108,8,4,1974
109,8,5,1098
110,8,6,2113
111,8,7,861
112,8,8,584
113,8,9,98
114,8,10,244
115,8,11,96
116,8,12,103
117,8,13,4314
118,8,14,89
119,8,15,2025
120,9,1,1938
121,9,2,4274
122,9,3,1499
123,9,4,1722
124,9,5,985
125,9,6,2349
126,9,7,753
127,9,8,446
128,9,9,100
129,9,10,216
130,9,11,97
131,9,12,163
132,9,13,5469
133,9,14,282
134,9,15,2182
135,10,1,2540
136,10,2,4969
137,10,3,2241
138,10,4,1514
139,10,5,861
140,10,6,2116
141,10,7,649
142,10,8,696
143,10,9,132
144,10,10,185
145,10,11,128
146,10,12,284
147,10,13,4797
148,10,14,256
149,10,15,3156
150,11,1,1902
151,11,2,4371
152,11,3,1858
153,11,4,1260
154,11,5,712
155,11,6,1877
156,11,7,541
157,11,8,551
158,11,9,102
159,11,10,157
160,11,11,99
161,11,12,256
162,11,13,4111
163,11,14,231
164,11,15,2505
165,12,1,2424
166,12,2,3750
167,12,3,2216
168,12,4,1013
169,12,5,562
170,12,6,1652
171,12,7,554
172,12,8,476
173,12,9,104
174,12,10,158
175,12,11,101
176,12,12,226
177,12,13,5178
178,12,14,204
179,12,15,1905
180,13,1,3797
181,13,2,3124
182,13,3,1823
183,13,4,753
184,13,5,425
185,13,6,1422
186,13,7,573
187,13,8,429
188,13,9,166
189,13,10,158
190,13,11,191
191,13,12,196
192,13,13,4550
193,13,14,178
194,13,15,2360
195,14,1,3160
196,14,2,3511
197,14,3,1435
198,14,4,1018
199,14,5,1149
200,14,6,1188
201,14,7,465
202,14,8,581
203,14,9,138
204,14,10,130
205,14,11,163
206,14,12,167
207,14,13,4371
208,14,14,197
209,14,15,2547
210,15,1,2557
211,15,2,2896
212,15,3,2003
213,15,4,770
214,15,5,1012
215,15,6,946
216,15,7,362
217,15,8,445
218,15,9,109
219,15,10,100
220,15,11,134
221,15,12,137
222,15,13,3737
223,15,14,171
224,15,15,1932
225,16,1,1943
226,16,2,2279
227,16,3,2293
228,16,4,1126
229,16,5,866
230,16,6,715
231,16,7,343
232,16,8,452
233,16,9,110
234,16,10,100
235,16,11,106
236,16,12,108
237,16,13,3481
238,16,14,144
239,16,15,1925
240,17,1,1959
241,17,2,2871
242,17,3,1900
243,17,4,870
244,17,5,718
245,17,6,1101
246,17,7,416
247,17,8,463
248,17,9,170
249,17,10,161
250,17,11,105
251,17,12,107
252,17,13,3337
253,17,14,161
254,17,15,2324
255,18,1,1922
256,18,2,2273
257,18,3,1525
258,18,4,769
259,18,5,570
260,18,6,875
261,18,7,316
262,18,8,495
263,18,9,141
264,18,10,133
265,18,11,136
266,18,12,109
267,18,13,2649
268,18,14,180
269,18,15,2166
270,19,1,1993
271,19,2,1915
272,19,3,1350
273,19,4,1024
274,19,5,497
275,19,6,692
276,19,7,388
277,19,8,439
278,19,9,113
279,19,10,104
280,19,11,106
281,19,12,141
282,19,13,2369
283,19,14,155
284,19,15,1898
285,20,1,1968
286,20,2,1882
287,20,3,1173
288,20,4,773
289,20,5,466
290,20,6,700
291,20,7,342
292,20,8,444
293,20,9,113
294,20,10,104
295,20,11,107
296,20,12,112
297,20,13,2079
298,20,14,129
299,20,15,1907
