,k,t,i,b,x,y,z,r
0,0,1,1,a,0,0,0,0
1,0,1,1,a,0,0,750,0
2,0,1,1,a,0,0,1500,0
3,0,1,1,a,0,0,2250,0
4,0,1,1,a,1600,0,0,0
5,0,1,1,a,1600,0,750,0
6,0,1,1,a,1600,0,1500,0
7,0,1,1,a,1600,0,2250,0
8,0,1,1,a,3200,0,0,0
9,0,1,1,a,3200,0,750,0
10,0,1,1,a,3200,0,1500,0
11,0,1,1,a,3200,0,2250,0
12,0,1,1,a,4800,0,0,0
13,0,1,1,a,4800,0,750,0
14,0,1,1,a,4800,0,1500,0
15,0,1,1,a,4800,0,2250,0
16,0,1,3,b,6400,0,0,1
17,0,1,3,b,6400,0,1000,1
18,0,1,3,b,6400,0,2000,1
19,0,1,3,b,7600,0,0,1
20,0,1,3,b,7600,0,1000,1
21,0,1,3,b,7600,0,2000,1
22,0,1,3,b,8800,0,0,1
23,0,1,3,b,8800,0,1000,1
24,0,1,3,b,8800,0,2000,1
25,0,1,3,b,10000,0,0,1
26,0,1,3,b,10000,0,1000,1
27,0,1,3,b,10000,0,2000,1
28,0,1,3,b,11200,0,0,1
29,0,1,3,b,11200,0,1000,1
30,0,1,3,b,11200,0,2000,1
31,0,1,3,b,12400,0,0,1
32,0,1,3,b,12400,0,1000,1
33,0,1,3,b,12400,0,2000,1
34,0,1,2,a,0,1200,0,0
35,0,1,2,a,0,1200,750,0
36,0,1,2,a,0,1200,1500,0
37,0,1,2,a,0,1200,2250,0
38,0,1,2,a,1600,1200,0,0
39,0,1,2,a,1600,1200,750,0
40,0,1,2,a,1600,1200,1500,0
41,0,1,2,a,1600,1200,2250,0
42,0,1,2,a,3200,1200,0,0
43,0,1,2,a,3200,1200,750,0
44,0,1,2,a,3200,1200,1500,0
45,0,1,2,a,3200,1200,2250,0
46,0,1,2,a,4800,1200,0,0
47,0,1,2,a,4800,1200,750,0
48,0,1,2,a,4800,1200,1500,0
49,0,1,2,a,4800,1200,2250,0
50,0,1,2,a,6400,1200,0,0
51,0,1,2,a,6400,1200,750,0
52,0,1,2,a,6400,1200,1500,0
53,0,1,2,a,6400,1200,2250,0
54,0,1,2,a,8000,1200,0,0
55,0,1,2,a,8000,1200,750,0
56,0,1,2,a,8000,1200,1500,0
57,0,1,2,a,8000,1200,2250,0
58,0,1,2,a,9600,1200,0,0
59,0,1,2,a,9600,1200,750,0
60,0,1,2,a,9600,1200,1500,0
61,0,1,2,a,9600,1200,2250,0
62,0,1,2,a,11200,1200,0,0
63,0,1,2,a,11200,1200,750,0
64,0,1,2,a,11200,1200,1500,0
65,0,1,2,a,11200,1200,2250,0
66,0,2,5,a,0,0,0,0
67,0,2,5,a,0,0,750,0
68,0,2,5,a,0,0,1500,0
69,0,2,5,a,0,0,2250,0
70,0,2,5,a,1600,0,0,0
71,0,2,5,a,1600,0,750,0
72,0,2,5,a,1600,0,1500,0
73,0,2,5,a,1600,0,2250,0
74,0,2,3,b,3200,0,0,0
75,0,2,3,b,3200,0,1000,0
76,0,2,3,b,3200,0,2000,0
77,0,2,3,b,4400,0,0,0
78,0,2,3,b,4400,0,1000,0
79,0,2,3,b,4400,0,2000,0
80,0,2,3,b,5600,0,0,0
81,0,2,3,b,5600,0,1000,0
82,0,2,3,b,5600,0,2000,0
83,0,2,3,b,6800,0,0,0
84,0,2,3,b,6800,0,1000,0
85,0,2,3,b,6800,0,2000,0
86,0,2,3,b,8000,0,0,0
87,0,2,3,b,8000,0,1000,0
88,0,2,3,b,8000,0,2000,0
89,0,2,3,b,9200,0,0,0
90,0,2,3,b,9200,0,1000,0
91,0,2,3,b,9200,0,2000,0
92,0,2,3,b,10400,0,0,0
93,0,2,3,b,10400,0,1000,0
94,0,2,3,b,10400,0,2000,0
95,0,2,3,b,11600,0,0,0
96,0,2,3,b,11600,0,1000,0
97,0,2,3,b,11600,0,2000,0
98,0,2,1,a,0,1200,0,0
99,0,2,1,a,0,1200,750,0
100,0,2,1,a,0,1200,1500,0
101,0,2,1,a,0,1200,2250,0
102,0,2,1,a,1600,1200,0,0
103,0,2,1,a,1600,1200,750,0
104,0,2,1,a,1600,1200,1500,0
105,0,2,2,a,1600,1200,2250,0
106,0,2,2,a,1600,1200,3000,0
107,0,2,2,a,1600,1200,3750,0
108,0,2,2,a,1600,1200,4500,0
109,0,2,2,a,3200,1200,0,0
110,0,2,2,a,3200,1200,750,0
111,0,2,2,a,3200,1200,1500,0
112,0,2,2,a,3200,1200,2250,0
113,0,2,2,a,4800,1200,0,0
114,0,2,2,a,4800,1200,750,0
115,0,2,2,a,4800,1200,1500,0
116,0,2,2,a,4800,1200,2250,0
117,0,2,2,a,6400,1200,0,0
118,0,2,2,a,6400,1200,750,0
119,0,2,2,a,6400,1200,1500,0
120,0,2,2,a,6400,1200,2250,0
121,0,2,2,a,8000,1200,0,0
122,0,2,3,b,8000,1200,750,0
123,0,2,3,b,8000,1200,1750,0
124,0,2,3,b,8000,1200,2750,0
125,0,3,2,a,0,0,0,0
126,0,3,2,a,0,0,750,0
127,0,3,2,a,0,0,1500,0
128,0,3,2,a,0,0,2250,0
129,0,3,2,a,1600,0,0,0
130,0,3,2,a,1600,0,750,0
131,0,3,2,a,1600,0,1500,0
132,0,3,2,a,1600,0,2250,0
133,0,3,2,a,3200,0,0,0
134,0,3,2,a,3200,0,750,0
135,0,3,2,a,3200,0,1500,0
136,0,3,2,a,3200,0,2250,0
137,0,3,2,a,4800,0,0,0
138,0,3,2,a,4800,0,750,0
139,0,3,2,a,4800,0,1500,0
140,0,3,2,a,4800,0,2250,0
141,0,3,4,b,6400,0,0,1
142,0,3,4,b,6400,0,1000,1
143,0,3,4,b,6400,0,2000,1
144,0,3,4,b,7600,0,0,1
145,0,3,4,b,7600,0,1000,1
146,0,3,4,b,7600,0,2000,1
147,0,3,4,b,8800,0,0,1
148,0,3,4,b,8800,0,1000,1
149,0,3,4,b,8800,0,2000,1
150,0,3,4,b,10000,0,0,1
151,0,3,4,b,10000,0,1000,1
152,0,3,4,b,10000,0,2000,1
153,0,3,4,b,11200,0,0,1
154,0,3,4,b,11200,0,1000,1
155,0,3,4,b,11200,0,2000,1
156,0,3,4,b,12400,0,0,1
157,0,3,4,b,12400,0,1000,1
158,0,3,4,b,12400,0,2000,1
159,0,3,5,a,0,1200,0,0
160,0,3,5,a,0,1200,750,0
161,0,3,5,a,0,1200,1500,0
162,0,3,5,a,0,1200,2250,0
163,0,3,5,a,1600,1200,0,0
164,0,3,5,a,1600,1200,750,0
165,0,3,5,a,1600,1200,1500,0
166,0,3,5,a,1600,1200,2250,0
167,0,3,5,a,3200,1200,0,0
168,0,3,5,a,3200,1200,750,0
169,0,3,5,a,3200,1200,1500,0
170,0,3,5,a,3200,1200,2250,0
171,0,3,5,a,4800,1200,0,0
172,0,3,5,a,4800,1200,750,0
173,0,3,5,a,4800,1200,1500,0
174,0,3,5,a,4800,1200,2250,0
175,0,3,5,a,6400,1200,0,0
176,0,3,5,a,6400,1200,750,0
177,0,3,5,a,6400,1200,1500,0
178,0,3,5,a,6400,1200,2250,0
179,0,3,5,a,8000,1200,0,0
180,0,3,5,a,8000,1200,750,0
181,0,3,5,a,8000,1200,1500,0
182,0,3,5,a,8000,1200,2250,0
183,0,3,5,a,9600,1200,0,0
184,0,3,5,a,9600,1200,750,0
185,0,3,5,a,9600,1200,1500,0
186,0,3,5,a,9600,1200,2250,0
187,0,3,3,b,11200,1200,0,0
188,0,3,3,b,11200,1200,1000,0
189,0,3,3,b,11200,1200,2000,0
190,0,3,3,b,12400,1200,0,0
191,0,3,3,b,12400,1200,1000,0
192,0,3,3,b,12400,1200,2000,0
193,0,4,3,b,0,0,0,1
194,0,4,3,b,0,0,1000,1
195,0,4,3,b,0,0,2000,1
196,0,4,3,b,1200,0,0,1
197,0,4,3,b,1200,0,1000,1
198,0,4,3,b,1200,0,2000,1
199,0,4,3,b,2400,0,0,1
200,0,4,3,b,2400,0,1000,1
201,0,4,3,b,2400,0,2000,1
202,0,4,3,b,3600,0,0,1
203,0,4,3,b,3600,0,1000,1
204,0,4,3,b,3600,0,2000,1
205,0,4,3,b,4800,0,0,1
206,0,4,3,b,4800,0,1000,1
207,0,4,5,b,4800,0,2000,1
208,0,4,1,a,0,1200,3000,0
209,0,4,2,a,0,1200,3750,0
210,0,4,2,a,0,1200,4500,0
211,0,4,2,a,0,1200,5250,0
212,0,4,2,a,0,1200,6000,0
213,0,4,2,a,1600,1200,0,0
214,0,4,2,a,1600,1200,750,0
215,0,4,2,a,1600,1200,1500,0
216,0,4,2,a,1600,1200,2250,0
217,0,4,2,a,3200,1200,0,0
218,0,4,2,a,3200,1200,750,0
219,0,4,2,a,3200,1200,1500,0
220,0,4,2,a,3200,1200,2250,0
221,0,4,2,a,4800,1200,0,0
222,0,4,2,a,4800,1200,750,0
223,0,4,2,a,4800,1200,1500,0
224,0,4,2,a,4800,1200,2250,0
225,0,4,2,a,6400,1200,0,0
226,0,4,2,a,6400,1200,750,0
227,0,4,2,a,6400,1200,1500,0
228,0,4,2,a,6400,1200,2250,0
229,0,4,5,a,8000,1200,0,0
230,0,4,5,a,8000,1200,750,0
231,0,4,5,a,8000,1200,1500,0
232,0,4,5,a,8000,1200,2250,0
233,0,4,5,a,9600,1200,0,0
234,0,4,5,a,9600,1200,750,0
235,0,4,5,a,9600,1200,1500,0
236,0,4,1,b,9600,1200,2250,1
237,0,4,3,b,9600,1200,3250,1
238,0,4,3,b,9600,1200,4250,1
239,0,4,3,b,9600,1200,5250,1
240,0,4,3,b,10800,1200,0,1
241,0,4,3,b,10800,1200,1000,1
242,0,5,3,b,0,0,0,0
243,0,5,3,b,0,0,1000,0
244,0,5,3,b,0,0,2000,0
245,0,5,3,b,1200,0,0,0
246,0,5,3,b,1200,0,1000,0
247,0,5,3,b,1200,0,2000,0
248,0,5,3,b,2400,0,0,0
249,0,5,3,b,2400,0,1000,0
250,0,5,3,b,2400,0,2000,0
251,0,5,3,b,3600,0,0,0
252,0,5,3,b,3600,0,1000,0
253,0,5,3,b,3600,0,2000,0
254,0,5,3,b,4800,0,0,0
255,0,5,3,b,4800,0,1000,0
256,0,5,3,b,4800,0,2000,0
257,0,5,3,b,6000,0,0,0
258,0,5,3,b,6000,0,1000,0
259,0,5,3,b,6000,0,2000,0
260,0,5,3,b,7200,0,0,0
261,0,5,3,b,7200,0,1000,0
262,0,5,3,b,7200,0,2000,0
263,0,5,3,b,8400,0,0,0
264,0,5,3,b,8400,0,1000,0
265,0,5,3,b,8400,0,2000,0
266,0,5,3,b,9600,0,0,0
267,0,5,3,b,9600,0,1000,0
268,0,5,3,b,9600,0,2000,0
269,0,5,3,b,10800,0,0,0
270,0,5,3,b,10800,0,1000,0
271,0,5,3,b,10800,0,2000,0
272,0,5,3,b,12000,0,0,0
273,0,5,3,b,12000,0,1000,0
274,0,5,3,b,12000,0,2000,0
275,0,5,2,a,0,1200,0,0
276,0,5,2,a,0,1200,750,0
277,0,5,2,a,0,1200,1500,0
278,0,5,2,a,0,1200,2250,0
279,0,5,2,a,1600,1200,0,0
280,0,5,2,a,1600,1200,750,0
281,0,5,2,a,1600,1200,1500,0
282,0,5,2,a,1600,1200,2250,0
283,0,5,2,a,3200,1200,0,0
284,0,5,2,a,3200,1200,750,0
285,0,5,2,a,3200,1200,1500,0
286,0,5,2,a,3200,1200,2250,0
287,0,5,2,a,4800,1200,0,0
288,0,5,2,a,4800,1200,750,0
289,0,5,2,a,4800,1200,1500,0
290,0,5,2,a,4800,1200,2250,0
291,0,5,2,a,6400,1200,0,0
292,0,5,2,a,6400,1200,750,0
293,0,5,2,a,6400,1200,1500,0
294,0,5,2,a,6400,1200,2250,0
295,0,5,2,a,8000,1200,0,0
296,0,5,2,a,8000,1200,750,0
297,0,5,2,a,8000,1200,1500,0
298,0,5,2,a,8000,1200,2250,0
299,0,5,2,a,9600,1200,0,0
300,0,5,2,a,9600,1200,750,0
301,0,5,2,a,9600,1200,1500,0
302,0,5,2,a,9600,1200,2250,0
303,0,5,4,b,11200,1200,0,1
304,0,5,4,b,11200,1200,1000,1
305,0,5,4,b,11200,1200,2000,1
306,0,5,4,b,12400,1200,0,1
307,0,5,4,b,12400,1200,1000,1
308,0,5,4,b,12400,1200,2000,1
309,0,7,5,a,0,0,0,0
310,0,7,5,a,0,0,750,0
311,0,7,5,a,0,0,1500,0
312,0,7,5,a,0,0,2250,0
313,0,7,5,a,1600,0,0,0
314,0,7,5,a,1600,0,750,0
315,0,7,5,a,1600,0,1500,0
316,0,7,5,a,1600,0,2250,0
317,0,7,5,a,3200,0,0,0
318,0,7,5,a,3200,0,750,0
319,0,7,5,a,3200,0,1500,0
320,0,7,5,a,3200,0,2250,0
321,0,7,5,a,4800,0,0,0
322,0,7,5,a,4800,0,750,0
323,0,7,5,a,4800,0,1500,0
324,0,7,5,a,4800,0,2250,0
325,0,7,5,a,6400,0,0,0
326,0,7,5,a,6400,0,750,0
327,0,7,5,a,6400,0,1500,0
328,0,7,5,a,6400,0,2250,0
329,0,7,5,a,8000,0,0,0
330,0,7,5,a,8000,0,750,0
331,0,7,5,a,8000,0,1500,0
332,0,7,5,a,8000,0,2250,0
333,0,7,4,b,9600,0,0,0
334,0,7,4,b,9600,0,1000,0
335,0,7,4,b,9600,0,2000,0
336,0,7,4,b,10800,0,0,0
337,0,7,4,b,10800,0,1000,0
338,0,7,4,b,10800,0,2000,0
339,0,7,4,b,12000,0,0,0
340,0,7,4,b,12000,0,1000,0
341,0,7,4,b,12000,0,2000,0
342,0,7,1,a,0,1200,0,0
343,0,7,1,a,0,1200,750,0
344,0,7,1,a,0,1200,1500,0
345,0,7,1,a,0,1200,2250,0
346,0,7,3,b,1600,1200,0,1
347,0,7,3,b,1600,1200,1000,1
348,0,7,3,b,1600,1200,2000,1
349,0,7,3,b,2800,1200,0,1
350,0,7,3,b,2800,1200,1000,1
351,0,7,3,b,2800,1200,2000,1
352,0,7,3,b,4000,1200,0,1
353,0,7,3,b,4000,1200,1000,1
354,0,7,3,b,4000,1200,2000,1
355,0,7,3,b,5200,1200,0,1
356,0,7,3,b,5200,1200,1000,1
357,0,7,3,b,5200,1200,2000,1
358,0,7,3,b,6400,1200,0,1
359,0,7,3,b,6400,1200,1000,1
360,0,7,3,b,6400,1200,2000,1
361,0,7,3,b,7600,1200,0,1
362,0,7,3,b,7600,1200,1000,1
363,0,7,3,b,7600,1200,2000,1
364,0,7,3,b,8800,1200,0,1
365,0,7,3,b,8800,1200,1000,1
366,0,7,3,b,8800,1200,2000,1
367,0,7,3,b,10000,1200,0,1
368,0,7,3,b,10000,1200,1000,1
369,0,7,3,b,10000,1200,2000,1
370,0,7,3,b,11200,1200,0,1
371,0,7,3,b,11200,1200,1000,1
372,0,7,3,b,11200,1200,2000,1
373,0,8,3,b,0,0,0,0
374,0,8,3,b,0,0,1000,0
375,0,8,3,b,0,0,2000,0
376,0,8,3,b,1200,0,0,0
377,0,8,3,b,1200,0,1000,0
378,0,8,3,b,1200,0,2000,0
379,0,8,3,b,2400,0,0,0
380,0,8,3,b,2400,0,1000,0
381,0,8,3,b,2400,0,2000,0
382,0,8,3,b,3600,0,0,0
383,0,8,3,b,3600,0,1000,0
384,0,8,3,b,3600,0,2000,0
385,0,8,3,b,4800,0,0,0
386,0,8,3,b,4800,0,1000,0
387,0,8,3,b,4800,0,2000,0
388,0,8,3,b,6000,0,0,0
389,0,8,3,b,6000,0,1000,0
390,0,8,3,b,6000,0,2000,0
391,0,8,3,b,7200,0,0,0
392,0,8,3,b,7200,0,1000,0
393,0,8,3,b,7200,0,2000,0
394,0,8,3,b,8400,0,0,0
395,0,8,3,b,8400,0,1000,0
396,0,8,3,b,8400,0,2000,0
397,0,8,3,b,9600,0,0,0
398,0,8,3,b,9600,0,1000,0
399,0,8,3,b,9600,0,2000,0
400,0,8,3,b,10800,0,0,0
401,0,8,3,b,10800,0,1000,0
402,0,8,3,b,10800,0,2000,0
403,0,8,3,b,12000,0,0,0
404,0,8,3,b,12000,0,1000,0
405,0,8,3,b,12000,0,2000,0
406,0,8,1,a,0,1200,0,0
407,0,8,1,a,0,1200,750,0
408,0,8,1,a,0,1200,1500,0
409,0,8,1,a,0,1200,2250,0
410,0,8,1,a,1600,1200,0,0
411,0,8,1,a,1600,1200,750,0
412,0,8,1,a,1600,1200,1500,0
413,0,8,1,a,1600,1200,2250,0
414,0,8,1,a,3200,1200,0,0
415,0,8,1,a,3200,1200,750,0
416,0,8,1,a,3200,1200,1500,0
417,0,8,1,a,3200,1200,2250,0
418,0,8,1,a,4800,1200,0,0
419,0,8,1,a,4800,1200,750,0
420,0,8,1,a,4800,1200,1500,0
421,0,8,1,a,4800,1200,2250,0
422,0,8,1,a,6400,1200,0,0
423,0,8,1,a,6400,1200,750,0
424,0,8,1,a,6400,1200,1500,0
425,0,8,1,a,6400,1200,2250,0
426,0,8,1,a,8000,1200,0,0
427,0,8,1,a,8000,1200,750,0
428,0,8,1,a,8000,1200,1500,0
429,0,8,1,a,8000,1200,2250,0
430,0,8,1,a,9600,1200,0,0
431,0,8,1,a,9600,1200,750,0
432,0,8,1,a,9600,1200,1500,0
433,0,8,1,a,9600,1200,2250,0
434,0,8,3,b,11200,1200,0,0
435,0,8,3,b,11200,1200,1000,0
436,0,8,3,b,11200,1200,2000,0
437,0,8,3,b,12400,1200,0,0
438,0,8,3,b,12400,1200,1000,0
439,0,8,3,b,12400,1200,2000,0
440,0,10,4,b,0,0,0,0
441,0,10,4,b,0,0,1000,0
442,0,10,4,b,0,0,2000,0
443,0,10,3,b,1200,0,0,1
444,0,10,3,b,1200,0,1000,1
445,0,10,3,b,1200,0,2000,1
446,0,10,3,b,2400,0,0,1
447,0,10,3,b,2400,0,1000,1
448,0,10,3,b,2400,0,2000,1
449,0,10,3,b,3600,0,0,1
450,0,10,3,b,3600,0,1000,1
451,0,10,3,b,3600,0,2000,1
452,0,10,3,b,4800,0,0,1
453,0,10,3,b,4800,0,1000,1
454,0,10,3,b,4800,0,2000,1
455,0,10,3,b,6000,0,0,1
456,0,10,3,b,6000,0,1000,1
457,0,10,3,b,6000,0,2000,1
458,0,10,3,b,7200,0,0,1
459,0,10,3,b,7200,0,1000,1
460,0,10,3,b,7200,0,2000,1
461,0,10,3,b,8400,0,0,1
462,0,10,3,b,8400,0,1000,1
463,0,10,3,b,8400,0,2000,1
464,0,10,3,b,9600,0,0,1
465,0,10,3,b,9600,0,1000,1
466,0,10,4,b,9600,0,2000,1
467,0,10,1,a,0,1200,3000,0
468,0,10,1,a,0,1200,3750,0
469,0,10,1,a,0,1200,4500,0
470,0,10,1,a,0,1200,5250,0
471,0,10,1,a,1600,1200,0,0
472,0,10,1,a,1600,1200,750,0
473,0,10,1,a,1600,1200,1500,0
474,0,10,1,a,1600,1200,2250,0
475,0,10,1,a,3200,1200,0,0
476,0,10,1,a,3200,1200,750,0
477,0,10,1,a,3200,1200,1500,0
478,0,10,1,a,3200,1200,2250,0
479,0,10,1,a,4800,1200,0,0
480,0,10,1,a,4800,1200,750,0
481,0,10,1,a,4800,1200,1500,0
482,0,10,1,a,4800,1200,2250,0
483,0,10,1,a,6400,1200,0,0
484,0,10,1,a,6400,1200,750,0
485,0,10,1,a,6400,1200,1500,0
