,t,c,producto,CantidadPedir
0,1,0,1,0
1,1,0,2,0
2,1,0,3,0
3,1,0,4,0
4,1,0,5,0
5,1,0,6,0
6,1,0,7,0
7,1,0,8,0
8,1,0,9,0
9,1,0,10,0
10,1,0,11,0
11,1,0,12,0
12,1,0,13,0
13,1,1,1,12
14,1,1,2,2
15,1,1,3,0
16,1,1,4,18
17,1,1,5,0
18,1,1,6,0
19,1,1,7,2
20,1,1,8,0
21,1,1,9,1
22,1,1,10,0
23,1,1,11,0
24,1,1,12,1
25,1,1,13,0
26,1,2,1,0
27,1,2,2,0
28,1,2,3,0
29,1,2,4,0
30,1,2,5,0
31,1,2,6,0
32,1,2,7,0
33,1,2,8,0
34,1,2,9,0
35,1,2,10,0
36,1,2,11,0
37,1,2,12,0
38,1,2,13,0
39,1,3,1,0
40,1,3,2,0
41,1,3,3,0
42,1,3,4,0
43,1,3,5,0
44,1,3,6,0
45,1,3,7,0
46,1,3,8,0
47,1,3,9,0
48,1,3,10,0
49,1,3,11,0
50,1,3,12,0
51,1,3,13,0
52,1,4,1,0
53,1,4,2,0
54,1,4,3,0
55,1,4,4,0
56,1,4,5,0
57,1,4,6,0
58,1,4,7,0
59,1,4,8,0
60,1,4,9,0
61,1,4,10,0
62,1,4,11,0
63,1,4,12,0
64,1,4,13,0
65,1,5,1,0
66,1,5,2,0
67,1,5,3,0
68,1,5,4,0
69,1,5,5,0
70,1,5,6,0
71,1,5,7,0
72,1,5,8,0
73,1,5,9,0
74,1,5,10,0
75,1,5,11,0
76,1,5,12,0
77,1,5,13,0
78,1,6,1,0
79,1,6,2,0
80,1,6,3,0
81,1,6,4,0
82,1,6,5,0
83,1,6,6,0
84,1,6,7,0
85,1,6,8,0
86,1,6,9,0
87,1,6,10,0
88,1,6,11,0
89,1,6,12,0
90,1,6,13,0
91,1,7,1,0
92,1,7,2,0
93,1,7,3,0
94,1,7,4,0
95,1,7,5,0
96,1,7,6,0
97,1,7,7,0
98,1,7,8,0
99,1,7,9,0
100,1,7,10,0
101,1,7,11,0
102,1,7,12,0
103,1,7,13,0
104,1,8,1,12
105,1,8,2,19
106,1,8,3,5
107,1,8,4,0
108,1,8,5,0
109,1,8,6,0
110,1,8,7,0
111,1,8,8,0
112,1,8,9,0
113,1,8,10,0
114,1,8,11,0
115,1,8,12,0
116,1,8,13,0
117,1,9,1,0
118,1,9,2,0
119,1,9,3,0
120,1,9,4,0
121,1,9,5,0
122,1,9,6,0
123,1,9,7,0
124,1,9,8,0
125,1,9,9,0
126,1,9,10,0
127,1,9,11,0
128,1,9,12,0
129,1,9,13,0
130,2,0,1,0
131,2,0,2,0
132,2,0,3,0
133,2,0,4,0
134,2,0,5,0
135,2,0,6,0
136,2,0,7,0
137,2,0,8,0
138,2,0,9,0
139,2,0,10,0
140,2,0,11,0
141,2,0,12,0
142,2,0,13,0
143,2,1,1,0
144,2,1,2,0
145,2,1,3,0
146,2,1,4,16
147,2,1,5,0
148,2,1,6,5
149,2,1,7,0
150,2,1,8,0
151,2,1,9,7
152,2,1,10,5
153,2,1,11,4
154,2,1,12,0
155,2,1,13,2
156,2,2,1,0
157,2,2,2,0
158,2,2,3,0
159,2,2,4,0
160,2,2,5,0
161,2,2,6,0
162,2,2,7,0
163,2,2,8,0
164,2,2,9,0
165,2,2,10,0
166,2,2,11,0
167,2,2,12,0
168,2,2,13,0
169,2,3,1,0
170,2,3,2,0
171,2,3,3,0
172,2,3,4,0
173,2,3,5,0
174,2,3,6,0
175,2,3,7,0
176,2,3,8,0
177,2,3,9,0
178,2,3,10,0
179,2,3,11,0
180,2,3,12,0
181,2,3,13,0
182,2,4,1,0
183,2,4,2,0
184,2,4,3,0
185,2,4,4,0
186,2,4,5,0
187,2,4,6,0
188,2,4,7,0
189,2,4,8,0
190,2,4,9,0
191,2,4,10,0
192,2,4,11,0
193,2,4,12,0
194,2,4,13,0
195,2,5,1,0
196,2,5,2,0
197,2,5,3,0
198,2,5,4,0
199,2,5,5,0
200,2,5,6,0
201,2,5,7,0
202,2,5,8,0
203,2,5,9,0
204,2,5,10,0
205,2,5,11,0
206,2,5,12,0
207,2,5,13,0
208,2,6,1,12
209,2,6,2,10
210,2,6,3,0
211,2,6,4,1
212,2,6,5,2
213,2,6,6,0
214,2,6,7,5
215,2,6,8,3
216,2,6,9,3
217,2,6,10,0
218,2,6,11,0
219,2,6,12,0
220,2,6,13,0
221,2,7,1,0
222,2,7,2,0
223,2,7,3,0
224,2,7,4,0
225,2,7,5,0
226,2,7,6,0
227,2,7,7,0
228,2,7,8,0
229,2,7,9,0
230,2,7,10,0
231,2,7,11,0
232,2,7,12,0
233,2,7,13,0
234,2,8,1,0
235,2,8,2,0
236,2,8,3,0
237,2,8,4,0
238,2,8,5,0
239,2,8,6,0
240,2,8,7,0
241,2,8,8,0
242,2,8,9,0
243,2,8,10,0
244,2,8,11,0
245,2,8,12,0
246,2,8,13,0
247,2,9,1,0
248,2,9,2,0
249,2,9,3,0
250,2,9,4,0
251,2,9,5,0
252,2,9,6,0
253,2,9,7,0
254,2,9,8,0
255,2,9,9,0
256,2,9,10,0
257,2,9,11,0
258,2,9,12,0
259,2,9,13,0
260,3,0,1,0
261,3,0,2,0
262,3,0,3,0
263,3,0,4,0
264,3,0,5,0
265,3,0,6,0
266,3,0,7,0
267,3,0,8,0
268,3,0,9,0
269,3,0,10,0
270,3,0,11,0
271,3,0,12,0
272,3,0,13,0
273,3,1,1,0
274,3,1,2,0
275,3,1,3,0
276,3,1,4,0
277,3,1,5,0
278,3,1,6,0
279,3,1,7,0
280,3,1,8,0
281,3,1,9,0
282,3,1,10,0
283,3,1,11,0
284,3,1,12,0
285,3,1,13,0
286,3,2,1,0
287,3,2,2,7
288,3,2,3,0
289,3,2,4,0
290,3,2,5,1
291,3,2,6,0
292,3,2,7,0
293,3,2,8,5
294,3,2,9,12
295,3,2,10,8
296,3,2,11,0
297,3,2,12,6
298,3,2,13,0
299,3,3,1,0
300,3,3,2,0
301,3,3,3,0
302,3,3,4,0
303,3,3,5,0
304,3,3,6,0
305,3,3,7,0
306,3,3,8,0
307,3,3,9,0
308,3,3,10,0
309,3,3,11,0
310,3,3,12,0
311,3,3,13,0
312,3,4,1,0
313,3,4,2,0
314,3,4,3,0
315,3,4,4,0
316,3,4,5,0
317,3,4,6,0
318,3,4,7,0
319,3,4,8,0
320,3,4,9,0
321,3,4,10,0
322,3,4,11,0
323,3,4,12,0
324,3,4,13,0
325,3,5,1,0
326,3,5,2,0
327,3,5,3,0
328,3,5,4,0
329,3,5,5,0
330,3,5,6,0
331,3,5,7,0
332,3,5,8,0
333,3,5,9,0
334,3,5,10,0
335,3,5,11,0
336,3,5,12,0
337,3,5,13,0
338,3,6,1,0
339,3,6,2,0
340,3,6,3,0
341,3,6,4,0
342,3,6,5,0
343,3,6,6,0
344,3,6,7,0
345,3,6,8,0
346,3,6,9,0
347,3,6,10,0
348,3,6,11,0
349,3,6,12,0
350,3,6,13,0
351,3,7,1,0
352,3,7,2,0
353,3,7,3,0
354,3,7,4,0
355,3,7,5,0
356,3,7,6,0
357,3,7,7,0
358,3,7,8,0
359,3,7,9,0
360,3,7,10,0
361,3,7,11,0
362,3,7,12,0
363,3,7,13,0
364,3,8,1,0
365,3,8,2,0
366,3,8,3,0
367,3,8,4,0
368,3,8,5,0
369,3,8,6,0
370,3,8,7,0
371,3,8,8,0
372,3,8,9,0
373,3,8,10,0
374,3,8,11,0
375,3,8,12,0
376,3,8,13,0
377,3,9,1,0
378,3,9,2,0
379,3,9,3,7
380,3,9,4,0
381,3,9,5,2
382,3,9,6,14
383,3,9,7,0
