,t,id,Demanda
0,1,1,1900
1,1,2,1600
2,1,3,2000
3,1,4,1400
4,1,5,1600
5,1,6,1600
6,1,7,1500
7,1,8,1700
8,1,9,2000
9,1,10,1500
10,1,11,1800
11,1,12,1600
12,1,13,1600
13,2,1,1700
14,2,2,2000
15,2,3,1600
16,2,4,1400
17,2,5,1500
18,2,6,2000
19,2,7,1800
20,2,8,1400
21,2,9,1900
22,2,10,2000
23,2,11,1500
24,2,12,1100
25,2,13,1300
26,3,1,1400
27,3,2,1700
28,3,3,1500
29,3,4,1700
30,3,5,1200
31,3,6,1900
32,3,7,1200
33,3,8,1800
34,3,9,1700
35,3,10,1500
36,3,11,1700
37,3,12,1500
38,3,13,1200
39,4,1,1500
40,4,2,2000
41,4,3,1900
42,4,4,1900
43,4,5,1200
44,4,6,1500
45,4,7,1300
46,4,8,1700
47,4,9,1900
48,4,10,2000
49,4,11,1700
50,4,12,1800
51,4,13,1500
52,5,1,1200
53,5,2,1400
54,5,3,1200
55,5,4,1500
56,5,5,1500
57,5,6,1600
58,5,7,1100
59,5,8,1300
60,5,9,1400
61,5,10,1600
62,5,11,1800
63,5,12,1400
64,5,13,1100
65,6,1,1500
66,6,2,1800
67,6,3,2000
68,6,4,1100
69,6,5,1300
70,6,6,1100
71,6,7,1400
72,6,8,1900
73,6,9,1600
74,6,10,1800
75,6,11,1500
76,6,12,1800
77,6,13,1600
78,7,1,1900
79,7,2,1200
80,7,3,1400
81,7,4,1600
82,7,5,1200
83,7,6,2000
84,7,7,1500
85,7,8,1200
86,7,9,1600
87,7,10,1700
88,7,11,1200
89,7,12,1400
90,7,13,1200
91,8,1,1100
92,8,2,1600
93,8,3,1200
94,8,4,1800
95,8,5,1300
96,8,6,1900
97,8,7,2000
98,8,8,1300
99,8,9,1700
100,8,10,1100
101,8,11,1200
102,8,12,1900
103,8,13,1500
104,9,1,2000
105,9,2,1400
106,9,3,1800
107,9,4,1100
108,9,5,1700
109,9,6,1900
110,9,7,1900
111,9,8,1600
112,9,9,1600
113,9,10,1800
114,9,11,1100
115,9,12,1400
116,9,13,1400
117,10,1,1800
118,10,2,1400
119,10,3,1800
120,10,4,1400
121,10,5,1500
122,10,6,1600
123,10,7,1500
124,10,8,1100
125,10,9,1700
126,10,10,1900
127,10,11,1600
128,10,12,1900
129,10,13,2000
130,11,1,1400
131,11,2,1700
132,11,3,2000
133,11,4,1900
134,11,5,1100
135,11,6,1800
136,11,7,1100
137,11,8,1400
138,11,9,1900
139,11,10,1700
140,11,11,2000
141,11,12,1600
142,11,13,1600
143,12,1,1800
144,12,2,2000
145,12,3,1100
146,12,4,1800
147,12,5,1300
148,12,6,1200
149,12,7,1100
150,12,8,1700
151,12,9,1400
152,12,10,1300
153,12,11,1900
154,12,12,1500
155,12,13,1700
156,13,1,1700
157,13,2,1900
158,13,3,1600
159,13,4,1900
160,13,5,2000
161,13,6,1500
162,13,7,1900
163,13,8,2000
164,13,9,1500
165,13,10,1200
166,13,11,1200
167,13,12,1300
168,13,13,1700
169,14,1,1100
170,14,2,1400
171,14,3,1600
172,14,4,2000
173,14,5,2000
174,14,6,1800
175,14,7,1400
176,14,8,1300
177,14,9,1600
178,14,10,2000
179,14,11,1300
180,14,12,1700
181,14,13,1200
182,15,1,1200
183,15,2,1500
184,15,3,1100
185,15,4,1300
186,15,5,1700
187,15,6,1800
188,15,7,1200
189,15,8,1100
190,15,9,1300
191,15,10,1800
192,15,11,2000
193,15,12,1600
194,15,13,1900
195,16,1,1800
196,16,2,1500
197,16,3,1200
198,16,4,1900
199,16,5,1200
200,16,6,1500
201,16,7,1100
202,16,8,1500
203,16,9,1700
204,16,10,1500
205,16,11,1100
206,16,12,1200
207,16,13,1100
208,17,1,1800
209,17,2,1200
210,17,3,1200
211,17,4,1800
212,17,5,1400
213,17,6,1200
214,17,7,1100
215,17,8,1500
216,17,9,1600
217,17,10,1800
218,17,11,1700
219,17,12,1200
220,17,13,1300
221,18,1,1900
222,18,2,1400
223,18,3,1700
224,18,4,1800
225,18,5,1500
226,18,6,2000
227,18,7,2000
228,18,8,1200
229,18,9,1700
230,18,10,1800
231,18,11,1500
232,18,12,1100
233,18,13,1400
234,19,1,1500
235,19,2,1200
236,19,3,1200
237,19,4,1600
238,19,5,1400
239,19,6,1600
240,19,7,1200
241,19,8,1200
242,19,9,1900
243,19,10,1200
244,19,11,1400
245,19,12,1600
246,19,13,1900
