,t,product,Stock
0,1,1,4500
1,1,2,3850
2,1,3,5000
3,1,4,3200
4,1,5,4400
5,1,6,4400
6,1,7,4900
7,1,8,4300
8,1,9,4200
9,1,10,4500
10,1,11,4200
11,1,12,4600
12,1,13,4400
13,2,1,5200
14,2,2,3850
15,2,3,3400
16,2,4,5200
17,2,5,3300
18,2,6,3400
19,2,7,4100
20,2,8,3500
21,2,9,4300
22,2,10,3500
23,2,11,3500
24,2,12,3500
25,2,13,3500
26,3,1,3800
27,3,2,3550
28,3,3,3300
29,3,4,3500
30,3,5,2700
31,3,6,4300
32,3,7,2900
33,3,8,3100
34,3,9,5000
35,3,10,3600
36,3,11,4200
37,3,12,3200
38,3,13,2700
39,4,1,3100
40,4,2,3350
41,4,3,3200
42,4,4,2800
43,4,5,2900
44,4,6,2800
45,4,7,2600
46,4,8,3200
47,4,9,3100
48,4,10,3400
49,4,11,3300
50,4,12,3200
51,4,13,2800
52,5,1,3500
53,5,2,3150
54,5,3,3400
55,5,4,4100
56,5,5,2600
57,5,6,5200
58,5,7,2900
59,5,8,3100
60,5,9,3500
61,5,10,4600
62,5,11,2700
63,5,12,3200
64,5,13,2900
65,6,1,3600
66,6,2,2950
67,6,3,2600
68,6,4,3400
69,6,5,2500
70,6,6,4100
71,6,7,3500
72,6,8,2600
73,6,9,3300
74,6,10,2800
75,6,11,2400
76,6,12,3400
77,6,13,2700
78,7,1,3300
79,7,2,3150
80,7,3,4400
81,7,4,3000
82,7,5,3300
83,7,6,3900
84,7,7,4000
85,7,8,3000
86,7,9,3300
87,7,10,2900
88,7,11,2800
89,7,12,3400
90,7,13,3500
91,8,1,3800
92,8,2,4550
93,8,3,4400
94,8,4,2600
95,8,5,3800
96,8,6,3600
97,8,7,3600
98,8,8,2700
99,8,9,3400
100,8,10,3800
101,8,11,2800
102,8,12,4300
103,8,13,4800
104,9,1,3400
105,9,2,3150
106,9,3,3800
107,9,4,3300
108,9,5,2700
109,9,6,3500
110,9,7,2700
111,9,8,2500
112,9,9,3600
113,9,10,4000
114,9,11,3700
115,9,12,3500
116,9,13,3600
117,10,1,4000
118,10,2,3750
119,10,3,3400
120,10,4,3900
121,10,5,2400
122,10,6,4500
123,10,7,2400
124,10,8,4400
125,10,9,3300
126,10,10,3100
127,10,11,3900
128,10,12,3200
129,10,13,3400
130,11,1,4200
131,11,2,4050
132,11,3,2800
133,11,4,3800
134,11,5,5300
135,11,6,3100
136,11,7,3100
137,11,8,3800
138,11,9,3000
139,11,10,4600
140,11,11,3100
141,11,12,2800
142,11,13,4600
143,12,1,3200
144,12,2,3450
145,12,3,3300
146,12,4,4000
147,12,5,4000
148,12,6,3300
149,12,7,3400
150,12,8,3300
151,12,9,3200
152,12,10,3300
153,12,11,2600
154,12,12,4300
155,12,13,2900
156,13,1,3100
157,13,2,3150
158,13,3,3300
159,13,4,3700
160,13,5,3800
161,13,6,3600
162,13,7,2700
163,13,8,2700
164,13,9,2900
165,13,10,3900
166,13,11,6000
167,13,12,4600
168,13,13,3200
169,14,1,3600
170,14,2,3350
171,14,3,2300
172,14,4,3300
173,14,5,3200
174,14,6,4600
175,14,7,2300
176,14,8,2600
177,14,9,3100
178,14,10,3300
179,14,11,4700
180,14,12,2900
181,14,13,3000
182,15,1,4000
183,15,2,3050
184,15,3,2400
185,15,4,3800
186,15,5,2700
187,15,6,2800
188,15,7,2300
189,15,8,3100
190,15,9,3400
191,15,10,3300
192,15,11,2900
193,15,12,2500
194,15,13,2500
195,16,1,3800
196,16,2,2750
197,16,3,3000
198,16,4,3700
199,16,5,4300
200,16,6,3300
201,16,7,3200
202,16,8,2800
203,16,9,3300
204,16,10,4200
205,16,11,3200
206,16,12,2300
207,16,13,4400
208,17,1,3600
209,17,2,2750
210,17,3,3000
211,17,4,3500
212,17,5,3100
213,17,6,3700
214,17,7,3300
215,17,8,2700
216,17,9,3900
217,17,10,3000
218,17,11,2900
219,17,12,2700
220,17,13,3300
221,18,1,4100
222,18,2,2750
223,18,3,3300
224,18,4,3500
225,18,5,4000
226,18,6,4700
227,18,7,3300
228,18,8,2500
229,18,9,3600
230,18,10,3400
231,18,11,3000
232,18,12,3000
233,18,13,3300
234,19,1,3400
235,19,2,2750
236,19,3,2900
237,19,4,3500
238,19,5,3000
239,19,6,3700
240,19,7,3300
241,19,8,2500
242,19,9,3700
243,19,10,3400
244,19,11,3000
245,19,12,2800
246,19,13,3400
