,k,t,i,b,x,y,z,r,Volume
0,0,1,5,a,0,0,0,1,1440000000
1,0,1,9,a,0,0,750,1,1440000000
2,0,1,3,a,0,0,1500,1,1440000000
3,0,1,5,a,0,0,2250,1,1440000000
4,0,1,9,a,1200,0,0,1,1440000000
5,0,1,3,a,1200,0,750,1,1440000000
6,0,1,5,a,1200,0,1500,1,1440000000
7,0,1,3,a,1200,0,2250,1,1440000000
8,0,1,5,a,2400,0,0,1,1440000000
9,0,1,5,a,2400,0,750,1,1440000000
10,0,1,3,a,2400,0,1500,1,1440000000
11,0,1,5,a,2400,0,2250,1,1440000000
12,0,1,6,b,3600,0,0,0,1200000000
13,0,1,1,b,3600,0,1000,0,1200000000
14,0,1,8,b,3600,0,2000,0,1200000000
15,0,1,3,a,3600,1200,0,0,1440000000
16,0,1,5,a,3600,1200,750,0,1440000000
17,0,1,3,a,3600,1200,1500,0,1440000000
18,0,1,5,a,3600,1200,2250,0,1440000000
19,0,1,6,b,4600,0,0,0,1200000000
20,0,1,2,b,4600,0,1000,0,1200000000
21,0,1,6,b,4600,0,2000,0,1200000000
22,0,1,8,b,5200,1200,0,0,1200000000
23,0,1,1,b,5200,1200,1000,0,1200000000
24,0,1,6,b,5200,1200,2000,0,1200000000
25,0,1,8,b,5600,0,0,0,1200000000
26,0,1,6,b,5600,0,1000,0,1200000000
27,0,1,2,b,5600,0,2000,0,1200000000
28,0,1,10,c,0,1600,0,1,1440000000
29,0,1,7,c,0,1600,1000,1,1440000000
30,0,1,4,c,0,1600,2000,1,1440000000
31,0,1,8,b,6200,1200,0,0,1200000000
32,0,1,6,b,6200,1200,1000,0,1200000000
33,0,1,1,b,6200,1200,2000,0,1200000000
34,0,1,6,b,6600,0,0,0,1200000000
35,0,1,8,b,6600,0,1000,0,1200000000
36,0,1,2,b,6600,0,2000,0,1200000000
37,0,1,6,b,7200,1200,0,0,1200000000
38,0,1,8,b,7200,1200,1000,0,1200000000
39,0,1,1,b,7200,1200,2000,0,1200000000
40,0,1,6,b,7600,0,0,0,1200000000
41,0,1,8,b,7600,0,1000,0,1200000000
42,0,1,6,b,7600,0,2000,0,1200000000
43,0,1,3,a,8200,1200,0,0,1440000000
44,0,1,5,a,8200,1200,750,0,1440000000
45,0,1,5,a,8200,1200,1500,0,1440000000
46,0,1,3,a,8200,1200,2250,0,1440000000
47,0,1,2,b,8600,0,0,0,1200000000
48,0,1,6,b,8600,0,1000,0,1200000000
49,0,1,8,b,8600,0,2000,0,1200000000
50,0,1,1,b,9600,0,0,0,1200000000
51,0,1,6,b,9600,0,1000,0,1200000000
52,0,1,2,b,9600,0,2000,0,1200000000
53,0,1,5,a,9800,1200,0,0,1440000000
54,0,1,3,a,9800,1200,750,0,1440000000
55,0,1,3,a,9800,1200,1500,0,1440000000
56,0,1,3,a,9800,1200,2250,0,1440000000
57,0,1,6,b,10600,0,0,0,1200000000
58,0,1,1,b,10600,0,1000,0,1200000000
59,0,1,6,b,10600,0,2000,0,1200000000
60,0,1,6,b,11400,1200,0,0,1200000000
61,0,1,2,b,11400,1200,1000,0,1200000000
62,0,1,6,b,11400,1200,2000,0,1200000000
63,0,1,1,b,11600,0,0,0,1200000000
64,0,1,6,b,11600,0,1000,0,1200000000
65,0,1,2,b,11600,0,2000,0,1200000000
66,0,1,6,b,12600,0,0,0,1200000000
67,0,1,1,b,12600,0,1000,0,1200000000
68,0,1,6,b,12600,0,2000,0,1200000000
69,0,1,10,c,1800,1600,0,1,1440000000
70,0,1,7,c,1800,1600,1000,1,1440000000
71,0,1,4,c,1800,1600,2000,1,1440000000
72,0,1,6,b,12400,1200,0,0,1200000000
73,0,1,2,b,12400,1200,1000,0,1200000000
74,0,1,6,b,12400,1200,2000,0,1200000000
75,1,1,10,c,0,0,0,0,1440000000
76,1,1,7,c,0,0,1000,0,1440000000
77,1,1,4,c,0,0,2000,0,1440000000
78,1,1,3,a,800,0,0,1,1440000000
79,1,1,3,a,800,0,750,1,1440000000
80,1,1,3,a,800,0,1500,1,1440000000
81,1,1,3,a,800,0,2250,1,1440000000
82,1,1,3,a,2000,0,0,1,1440000000
83,1,1,3,a,2000,0,750,1,1440000000
84,1,1,3,a,2000,0,1500,1,1440000000
85,1,1,3,a,2000,0,2250,1,1440000000
86,1,1,3,a,3200,0,0,1,1440000000
87,1,1,3,a,3200,0,750,1,1440000000
88,1,1,3,a,3200,0,1500,1,1440000000
89,1,1,3,a,3200,0,2250,1,1440000000
90,1,1,1,b,4400,0,0,0,1200000000
91,1,1,6,b,4400,0,1000,0,1200000000
92,1,1,2,b,4400,0,2000,0,1200000000
93,1,1,6,b,4400,1200,0,0,1200000000
94,1,1,1,b,4400,1200,1000,0,1200000000
95,1,1,2,b,4400,1200,2000,0,1200000000
96,1,1,7,c,800,1600,0,1,1440000000
97,1,1,4,c,800,1600,1000,1,1440000000
98,1,1,7,c,800,1600,2000,1,1440000000
99,1,1,1,b,5400,0,0,0,1200000000
100,1,1,2,b,5400,0,1000,0,1200000000
101,1,1,1,b,5400,0,2000,0,1200000000
102,1,1,2,b,5400,1200,0,0,1200000000
103,1,1,1,b,5400,1200,1000,0,1200000000
104,1,1,2,b,5400,1200,2000,0,1200000000
105,1,1,1,b,6400,0,0,0,1200000000
106,1,1,2,b,6400,0,1000,0,1200000000
107,1,1,1,b,6400,0,2000,0,1200000000
108,1,1,4,c,2600,1600,0,1,1440000000
109,1,1,7,c,2600,1600,1000,1,1440000000
110,1,1,4,c,2600,1600,2000,1,1440000000
111,1,1,7,c,6400,1200,0,1,1440000000
112,1,1,4,c,6400,1200,1000,1,1440000000
113,1,1,7,c,6400,1200,2000,1,1440000000
