,t,id,ProyectedStock
0,1,1,2135
1,2,1,1943
2,3,1,2032
3,4,1,2151
4,5,1,2042
5,6,1,2151
6,7,1,2002
7,8,1,2152
8,9,1,1968
9,10,1,2090
10,1,2,2188
11,2,2,2006
12,3,2,2030
13,4,2,2104
14,5,2,2006
15,6,2,2157
16,7,2,1950
17,8,2,2103
18,9,2,1904
19,10,2,2029
20,1,3,1404
21,2,3,1160
22,3,3,1234
23,4,3,1216
24,5,3,1282
25,6,3,1308
26,7,3,1312
27,8,3,1448
28,9,3,1139
29,10,3,1146
30,1,4,1000
31,2,4,814
32,3,4,794
33,4,4,815
34,5,4,876
35,6,4,845
36,7,4,1047
37,8,4,909
38,9,4,762
39,10,4,764
40,1,5,498
41,2,5,432
42,3,5,459
43,4,5,470
44,5,5,486
45,6,5,487
46,7,5,483
47,8,5,534
48,9,5,433
49,10,5,441
50,1,6,782
51,2,6,734
52,3,6,729
53,4,6,728
54,5,6,730
55,6,6,762
56,7,6,736
57,8,6,757
58,9,6,729
59,10,6,748
60,1,7,404
61,2,7,342
62,3,7,329
63,4,7,330
64,5,7,360
65,6,7,359
66,7,7,438
67,8,7,381
68,9,7,333
69,10,7,319
70,1,8,462
71,2,8,435
72,3,8,458
73,4,8,482
74,5,8,463
75,6,8,461
76,7,8,444
77,8,8,462
78,9,8,436
79,10,8,440
80,1,9,106
81,2,9,92
82,3,9,109
83,4,9,109
84,5,9,110
85,6,9,110
86,7,9,112
87,8,9,113
88,9,9,100
89,10,9,102
90,1,10,115
91,2,10,100
92,3,10,98
93,4,10,98
94,5,10,109
95,6,10,107
96,7,10,120
97,8,10,106
98,9,10,92
99,10,10,89
