,t,id,ProyectedStock
0,1,1,1835
1,2,1,1943
2,3,1,2002
3,4,1,2121
4,5,1,2042
5,6,1,1971
6,7,1,2212
7,8,1,2152
8,9,1,1998
9,10,1,2000
10,1,2,1888
11,2,2,2006
12,3,2,2000
13,4,2,2074
14,5,2,2006
15,6,2,1977
16,7,2,2160
17,8,2,2103
18,9,2,1934
19,10,2,1969
20,1,3,1194
21,2,3,1205
22,3,3,1204
23,4,3,1216
24,5,3,1327
25,6,3,1443
26,7,3,1447
27,8,3,1448
28,9,3,1139
29,10,3,1281
30,1,4,775
31,2,4,784
32,3,4,854
33,4,4,845
34,5,4,876
35,6,4,920
36,7,4,867
37,8,4,954
38,9,4,822
39,10,4,779
40,1,5,438
41,2,5,444
42,3,5,447
43,4,5,470
44,5,5,498
45,6,5,523
46,7,5,519
47,8,5,534
48,9,5,433
49,10,5,477
50,1,6,734
51,2,6,734
52,3,6,717
53,4,6,728
54,5,6,730
55,6,6,738
56,7,6,772
57,8,6,757
58,9,6,741
59,10,6,736
60,1,7,329
61,2,7,327
62,3,7,359
63,4,7,345
64,5,7,360
65,6,7,374
66,7,7,363
67,8,7,411
68,9,7,348
69,10,7,334
70,1,8,414
71,2,8,435
72,3,8,458
73,4,8,466
74,5,8,463
75,6,8,445
76,7,8,460
77,8,8,462
78,9,8,436
79,10,8,440
80,1,9,91
81,2,9,92
82,3,9,94
83,4,9,109
84,5,9,110
85,6,9,110
86,7,9,112
87,8,9,113
88,9,9,100
89,10,9,102
90,1,10,101
91,2,10,100
92,3,10,98
93,4,10,98
94,5,10,109
95,6,10,107
96,7,10,106
97,8,10,120
98,9,10,106
99,10,10,103
