,k,t,i,b,x,y,z,r,Volume
0,0,1,6,b,0,0,0,0,1200000000
1,0,1,1,b,0,0,1000,0,1200000000
2,0,1,8,b,0,0,2000,0,1200000000
3,0,1,6,b,0,1200,0,0,1200000000
4,0,1,2,b,0,1200,1000,0,1200000000
5,0,1,6,b,0,1200,2000,0,1200000000
6,0,1,5,a,1000,0,0,1,1440000000
7,0,1,9,a,1000,0,750,1,1440000000
8,0,1,3,a,1000,0,1500,1,1440000000
9,0,1,5,a,1000,0,2250,1,1440000000
10,0,1,9,a,2200,0,0,1,1440000000
11,0,1,3,a,2200,0,750,1,1440000000
12,0,1,5,a,2200,0,1500,1,1440000000
13,0,1,3,a,2200,0,2250,1,1440000000
14,0,1,5,a,3400,0,0,1,1440000000
15,0,1,5,a,3400,0,750,1,1440000000
16,0,1,3,a,3400,0,1500,1,1440000000
17,0,1,5,a,3400,0,2250,1,1440000000
18,0,1,8,b,4600,0,0,0,1200000000
19,0,1,1,b,4600,0,1000,0,1200000000
20,0,1,6,b,4600,0,2000,0,1200000000
21,0,1,3,a,4600,1200,0,0,1440000000
22,0,1,5,a,4600,1200,750,0,1440000000
23,0,1,3,a,4600,1200,1500,0,1440000000
24,0,1,5,a,4600,1200,2250,0,1440000000
25,0,1,8,b,5600,0,0,0,1200000000
26,0,1,6,b,5600,0,1000,0,1200000000
27,0,1,2,b,5600,0,2000,0,1200000000
28,0,1,10,c,1000,1600,0,1,1440000000
29,0,1,7,c,1000,1600,1000,1,1440000000
30,0,1,4,c,1000,1600,2000,1,1440000000
31,0,1,8,b,6200,1200,0,0,1200000000
32,0,1,6,b,6200,1200,1000,0,1200000000
33,0,1,1,b,6200,1200,2000,0,1200000000
34,0,1,6,b,6600,0,0,0,1200000000
35,0,1,8,b,6600,0,1000,0,1200000000
36,0,1,2,b,6600,0,2000,0,1200000000
37,0,1,3,a,7200,1200,0,0,1440000000
38,0,1,5,a,7200,1200,750,0,1440000000
39,0,1,5,a,7200,1200,1500,0,1440000000
40,0,1,3,a,7200,1200,2250,0,1440000000
41,0,1,5,a,7600,0,0,0,1440000000
42,0,1,3,a,7600,0,750,0,1440000000
43,0,1,3,a,7600,0,1500,0,1440000000
44,0,1,3,a,7600,0,2250,0,1440000000
45,0,1,6,b,8800,1200,0,0,1200000000
46,0,1,8,b,8800,1200,1000,0,1200000000
47,0,1,1,b,8800,1200,2000,0,1200000000
48,0,1,6,b,9200,0,0,0,1200000000
49,0,1,8,b,9200,0,1000,0,1200000000
50,0,1,6,b,9200,0,2000,0,1200000000
51,0,1,2,b,9800,1200,0,0,1200000000
52,0,1,6,b,9800,1200,1000,0,1200000000
53,0,1,8,b,9800,1200,2000,0,1200000000
54,0,1,3,a,10200,0,0,0,1440000000
55,0,1,3,a,10200,0,750,0,1440000000
56,0,1,3,a,10200,0,1500,0,1440000000
57,0,1,3,a,10200,0,2250,0,1440000000
58,0,1,1,b,10800,1200,0,0,1200000000
59,0,1,6,b,10800,1200,1000,0,1200000000
60,0,1,2,b,10800,1200,2000,0,1200000000
61,0,1,10,c,11800,0,0,1,1440000000
62,0,1,7,c,11800,0,1000,1,1440000000
63,0,1,4,c,11800,0,2000,1,1440000000
64,0,1,10,c,11800,800,0,1,1440000000
65,0,1,7,c,11800,800,1000,1,1440000000
66,0,1,4,c,11800,800,2000,1,1440000000
67,0,1,7,c,11800,1600,0,1,1440000000
68,0,1,4,c,11800,1600,1000,1,1440000000
69,0,1,7,c,11800,1600,2000,1,1440000000
70,0,1,4,c,2800,1600,0,1,1440000000
71,0,1,7,c,2800,1600,1000,1,1440000000
72,0,1,4,c,2800,1600,2000,1,1440000000
73,1,1,3,a,0,0,0,1,1440000000
74,1,1,3,a,0,0,750,1,1440000000
75,1,1,3,a,0,0,1500,1,1440000000
76,1,1,3,a,0,0,2250,1,1440000000
77,1,1,3,a,1200,0,0,1,1440000000
78,1,1,3,a,1200,0,750,1,1440000000
79,1,1,3,a,1200,0,1500,1,1440000000
80,1,1,3,a,1200,0,2250,1,1440000000
81,1,1,6,b,2400,0,0,0,1200000000
82,1,1,1,b,2400,0,1000,0,1200000000
83,1,1,6,b,2400,0,2000,0,1200000000
84,1,1,6,b,2400,1200,0,0,1200000000
85,1,1,2,b,2400,1200,1000,0,1200000000
86,1,1,6,b,2400,1200,2000,0,1200000000
87,1,1,1,b,3400,0,0,0,1200000000
88,1,1,6,b,3400,0,1000,0,1200000000
89,1,1,2,b,3400,0,2000,0,1200000000
90,1,1,6,b,3400,1200,0,0,1200000000
91,1,1,1,b,3400,1200,1000,0,1200000000
92,1,1,6,b,3400,1200,2000,0,1200000000
93,1,1,3,a,4400,0,0,1,1440000000
94,1,1,3,a,4400,0,750,1,1440000000
95,1,1,3,a,4400,0,1500,1,1440000000
96,1,1,3,a,4400,0,2250,1,1440000000
97,1,1,7,c,4400,1600,0,1,1440000000
98,1,1,4,c,4400,1600,1000,1,1440000000
99,1,1,7,c,4400,1600,2000,1,1440000000
100,1,1,6,b,5600,0,0,0,1200000000
101,1,1,2,b,5600,0,1000,0,1200000000
102,1,1,6,b,5600,0,2000,0,1200000000
103,1,1,1,b,6200,1200,0,0,1200000000
104,1,1,6,b,6200,1200,1000,0,1200000000
105,1,1,2,b,6200,1200,2000,0,1200000000
