i,t,Demanda
1,1,617
1,2,612
1,3,601
1,4,601
1,5,649
1,6,641
1,7,599
1,8,630
1,9,634
1,10,658
2,1,653
2,2,602
2,3,636
2,4,646
2,5,638
2,6,599
2,7,627
2,8,627
2,9,619
2,10,625
3,1,389
3,2,379
3,3,391
3,4,393
3,5,369
3,6,364
3,7,386
3,8,374
3,9,369
3,10,368
4,1,258
4,2,261
4,3,260
4,4,249
4,5,254
4,6,256
4,7,248
4,8,258
4,9,252
4,10,238
5,1,140
5,2,138
5,3,141
5,4,145
5,5,140
5,6,143
5,7,148
5,8,141
5,9,137
5,10,148
6,1,245
6,2,240
6,3,245
6,4,241
6,5,226
6,6,232
6,7,230
6,8,243
6,9,244
6,10,233
7,1,104
7,2,107
7,3,103
7,4,104
7,5,105
7,6,106
7,7,101
7,8,102
7,9,108
7,10,104
8,1,143
8,2,139
8,3,137
8,4,136
8,5,147
8,6,146
8,7,145
8,8,142
8,9,138
8,10,140
9,1,28
9,2,29
9,3,28
9,4,30
9,5,29
9,6,30
9,7,28
9,8,29
9,9,28
9,10,28
10,1,30
10,2,29
10,3,30
10,4,28
10,5,31
10,6,30
10,7,29
10,8,28
10,9,28
10,10,31
11,1,29
11,2,28
11,3,30
11,4,30
11,5,28
11,6,28
11,7,30
11,8,30
11,9,29
11,10,29
12,1,28
12,2,29
12,3,28
12,4,28
12,5,28
12,6,28
12,7,29
12,8,28
12,9,30
12,10,29
13,1,641
13,2,649
13,3,641
13,4,651
13,5,637
13,6,640
13,7,625
13,8,661
13,9,669
13,10,672
14,1,26
14,2,26
14,3,27
14,4,25
14,5,26
14,6,26
14,7,27
14,8,27
14,9,27
14,10,26
15,1,611
15,2,653
15,3,654
15,4,618
15,5,606
15,6,609
15,7,647
15,8,660
15,9,635
15,10,610
