,t,id,NeededStock
0,1,1,1814
1,2,1,1851
2,3,1,1891
3,4,1,1889
4,5,1,1870
5,6,1,1863
6,7,1,1922
7,8,1,1922
8,9,1,1922
9,10,1,1922
10,1,2,1884
11,2,2,1920
12,3,2,1883
13,4,2,1864
14,5,2,1853
15,6,2,1873
16,7,2,1871
17,8,2,1871
18,9,2,1871
19,10,2,1871
20,1,3,1163
21,2,3,1153
22,3,3,1126
23,4,3,1119
24,5,3,1124
25,6,3,1129
26,7,3,1111
27,8,3,1111
28,9,3,1111
29,10,3,1111
30,1,4,770
31,2,4,763
32,3,4,759
33,4,4,758
34,5,4,762
35,6,4,758
36,7,4,748
37,8,4,748
38,9,4,748
39,10,4,748
40,1,5,424
41,2,5,426
42,3,5,428
43,4,5,431
44,5,5,432
45,6,5,426
46,7,5,426
47,8,5,426
48,9,5,426
49,10,5,426
50,1,6,726
51,2,6,712
52,3,6,699
53,4,6,688
54,5,6,705
55,6,6,717
56,7,6,720
57,8,6,720
58,9,6,720
59,10,6,720
60,1,7,314
61,2,7,312
62,3,7,315
63,4,7,312
64,5,7,309
65,6,7,311
66,7,7,314
67,8,7,314
68,9,7,314
69,10,7,314
70,1,8,412
71,2,8,420
72,3,8,429
73,4,8,438
74,5,8,433
75,6,8,425
76,7,8,420
77,8,8,420
78,9,8,420
79,10,8,420
80,1,9,87
81,2,9,87
82,3,9,89
83,4,9,87
84,5,9,87
85,6,9,85
86,7,9,85
87,8,9,85
88,9,9,85
89,10,9,85
90,1,10,87
91,2,10,89
92,3,10,89
93,4,10,90
94,5,10,87
95,6,10,85
96,7,10,87
97,8,10,87
98,9,10,87
99,10,10,87
100,1,11,88
101,2,11,88
102,3,11,86
103,4,11,86
104,5,11,88
105,6,11,89
106,7,11,88
107,8,11,88
108,9,11,88
109,10,11,88
110,1,12,85
111,2,12,84
112,3,12,84
113,4,12,85
114,5,12,85
115,6,12,87
116,7,12,87
117,8,12,87
118,9,12,87
119,10,12,87
120,1,13,1941
121,2,13,1929
122,3,13,1928
123,4,13,1902
124,5,13,1926
125,6,13,1955
126,7,13,2002
127,8,13,2002
128,9,13,2002
129,10,13,2002
130,1,14,78
131,2,14,78
132,3,14,77
133,4,14,79
134,5,14,80
135,6,14,81
136,7,14,80
137,8,14,80
138,9,14,80
139,10,14,80
140,1,15,1925
141,2,15,1878
142,3,15,1833
143,4,15,1862
144,5,15,1916
145,6,15,1942
146,7,15,1905
147,8,15,1905
148,9,15,1905
149,10,15,1905
